Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_Externa
Falling for Innocence;Falling for Innocence;TMDB;2015;¿Podría tu personalidad y perspectiva de la vida cambiar después de recibir un nuevo corazón?  Kang Min Ho pasó por un momento difícil cuando su padre murió  repentinamente y su tio le arrebata la compañía. Crece y se convierte en  un hombre de negocios frio y calculador, determinado en recuperar la  empresa.  Poco tiempo después de iniciado sus planes, se somete a un  trasplante de corazón. Con un nuevo corazón, él empezará a sentir  cambios en su personalidad, además de que empieza a enamorarse de una  joven que hará que su mundo cambie de repente.  Una divertida comedia que hará que reflexiones sobre la importancia de la vida.;https://image.tmdb.org/t/p/original/lKaQpKlaynFf7QQMAR3Ut6Id6t.jpg;Drama, Romance, Comedia;7.7;1;16;https://www.themoviedb.org/tv/62267
Falling into You;Falling into You;TMDB;2021;Una jugadora de deportes electrónicos no se distraerá con algo tan trivial como el amor mientras se esfuerza por alcanzar sus sueños. Es reclutada para unirse a un equipo de deportes electrónicos profesional donde conoce al encantador Lu Si Cheng. Tong Yao ingresó al mundo de los deportes electrónicos a través de sus formidables habilidades que le han permitido convertirse en la primera jugadora en la historia de los juegos de deportes electrónicos en China. Ella se une a un equipo dirigido por Lu Si Cheng. Es el apuesto, rico y capaz capitán de un equipo deportivo profesional con una lengua un poco afilada. Incluso cuando se enfrenta a la discriminación debido a su género, Tong Yao supera las dificultades con el apoyo de sus nuevos compañeros de equipo en su intento por estar en el escenario mundial para compensar una lamentable pérdida hace seis años.;https://image.tmdb.org/t/p/original/tQgfnSp7qroFOvTjUz7k8Namj5Q.jpg;Comedia, Drama;7.885;1;31;https://www.themoviedb.org/tv/95486
Family by Choice;Family by Choice;TMDB;2024;A pesar de no estar relacionados biológicamente, Kim San Ha, Yun Ju Won y Kang Hae Jun comparten un vínculo estrecho entre ellos. El trío pasó su adolescencia criado por el padre de Ju Won y el padre de San Ha, quienes hicieron todo lo posible para brindarles una infancia feliz mientras se curaban de traumas del pasado. Sin embargo, al llegar a la edad adulta, San Ha y Hae Jun buscaron a sus familias biológicas, dejando atrás a Ju Won.  Diez años después, los cinco miembros de la familia encontrada se reúnen, pero las cosas ya no son como antes. Ju Won tiene cierto resentimiento después de sentirse abandonada por San Ha y Hae Jun, mientras que los dos chicos luchan con nuevos sentimientos románticos hacia Ju Won y sus propios problemas familiares. ¿Podrán estos hermanos elegidos resolver los sentimientos que los unen y formarse finalmente un romance?;https://image.tmdb.org/t/p/original/fQmC6mDWI00yaLhNxyKJEhFbDUB.jpg;Drama, Familia;7.859;1;16;https://www.themoviedb.org/tv/237565
Fated to love You;Fated to love You;TMDB;2008;Lee Gun es el sucesor de una gran empresa dirigida por su familia. Kim Mi Young es una secretaria en un empresa de abogados, pero una noche sus destinos se cruzan en una fiesta con excesos y como resultado ella sale embarazada. ¿Qué pasará ahora?;https://image.tmdb.org/t/p/original/inc2OdWOTtyfb49C9aTWQXxWUYP.jpg;Drama, Comedia, Familia;6.609;1;24;https://www.themoviedb.org/tv/7173
Flower of Evil;Flower of Evil;TMDB;2022;;https://image.tmdb.org/t/p/original/q2ZKB2cbhJoaFTd6cRkU7KIJBC3.jpg;Crimen, Drama, Misterio;7.5;1;32;https://www.themoviedb.org/tv/156955
Forever Love;Forever Love;TMDB;2022;Una historia de amor entre el frío Dios de la Muerte y un hermoso fantasma que se niega a morir.;https://image.tmdb.org/t/p/original/aiQw7mH4tzYmcY45edmBXii1dDQ.jpg;Drama, Comedia;6.7;1;30;https://www.themoviedb.org/tv/156859
Full House (Thai);Full House (Thai);TMDB;2014;La version tailandesa del drama coreano Full House. Trata sobre una joven escritora de nombre Aom-Om (Aom Sushar) y su hermana que viven en una casa que fue heredada por su padre, sin embargo su hermana termina vendiendo la casa a sus espaldas de Aom-Om mientras ella viaja a Corea engañada en un supuesto viaje todo pagado. En Corea conoce a Guy un joven empresario quien es amigo de la superestrella Tailandesa Mike (Pirath Nitipaisalkul).Un dia antes de que Aom-Om regrese a Tailandia se entera de que debe pagar por el dia que estuvo en el hotel donde se hospedaba del cual ella creia estaba pagado, al no tener a quien recurrir ella decide ir con Guy sin embargo el ya ha regresado a Tailandia asi que recurre a Mike mintiendole sobre que ella es la prometida de su mejor amigo Mike decide ayudarla y Aom regresa a Tailandia al regresar a su casa se da cuenta que no hay nadie y que la casa ha sido vendida. Al no poder localizar a su hermana ella decide quedarse un dia en la casa, lo que no imagina esque la casa ha sido comprada por Mike. Cuando Mike la descubre decide dejarla quedarse un par de dias a cambio de que lo ayude limpiar la casa. Sim embargo en una fiesta Mike besa a Aom-Om para demostrarle a su mejor amiga y de quien Mike esta enamorado desde niño Mintra que no la quiere a ella sino a Aom y que ademas se van a casar, Aom-Om se sorprende mucho pero al final acepta hacer un contrato donde Mike se compromete a regresarle su casa si finge un matrimonio por dos años.Ellos tambien prometen que en este tiempo ninguno se debe enamorar ¿Lo podran lograr?;https://image.tmdb.org/t/p/original/hhWJKLfrxT4huC4sJHG5ugHaomW.jpg;Soap, Drama, Comedia;7.7;1;20;https://www.themoviedb.org/tv/61061
Full House Take;Full House Take;TMDB;2012;Jang  Man Ok quien ha estado viviendo con su abuelo desde pequeña  enseñando Aikido y a la vez trabajando en la galería de Man Ok a  escondidas de su abuelo. Por una deuda se convierte en la estilista del  famoso grupo TAKE ONE, un dúo compuesto por Lee Tae Ik - arrogante,  perfeccionista y autoexigente- y Won Kang Hwi quien es todo lo contrario  a Lee Tae Ik amable y tranquilo. Tae Ik, quien estuvo obligado a  convertirse en un ídolo para recuperar la casa donde vivió con sus  padres, empezara a tener sentimientos por Man Ok igual que su compañero  Kang Hwi. Este sentimiento que comparten los dos hará que estos ídolos  empiecen una gran rivalidad.  A medida que el tiempo transcurre van surgiendo más obstáculos  para Man Ok y Tae Ik ¿Qué es lo que ocurrirá con estos dos personajes ?;https://image.tmdb.org/t/p/original/9FtZeeYwAgwV740nnxGduVBKKet.jpg;Comedia, Drama;2.4;1;32;https://www.themoviedb.org/tv/46540
Game of True Love;Game of True Love;TMDB;2025;"Xu Nuo, la joven heredera del Grupo Yuanfei, creció sobreprotegida por sus padres. Al volver de sus estudios en el extranjero, descubre con asombro que su familia, antes feliz, está destrozada: su madre fue expulsada sin nada, y su ""hermano"" Shen Jiahe —criado en su hogar sin lazo de sangre— está a punto de sustituirla como heredero de la empresa. Para colmo, la prometida de su padre es Bai Xia, quien fuera la novia escandalosa de Shen Jiahe y también enemiga de Xu Nuo desde hace tiempo. Decidida a recuperar el control de Yuanfei y exponer las verdaderas intenciones de Shen Jiahe, Xu Nuo diseña una estrategia cuidadosa y lo tienta a participar en una gran apuesta llamada ""Juego de Amor Verdadero"". Así da comienzo una historia de amor y confrontación entre ambos.";https://image.tmdb.org/t/p/original/srBhZ1eQi3VtetIxyRN1lEy1pNH.jpg;Drama;6.2;1;56;https://www.themoviedb.org/tv/256542
Genie, Make a Wish;Genie, Make a Wish;TMDB;2025;Un excéntrico genio reaparece después de mil años para cumplir los deseos de una mujer impasible. ¿Logrará colmarla de amor e ilusión con su magia?;https://image.tmdb.org/t/p/original/57lwxja44bDvaOGbLrUfINMe5Vh.jpg;Ciencia ficción, Comedia, Drama;7.596;1;13;https://www.themoviedb.org/tv/228689
Glorious Day;Glorious Day;TMDB;2014;;https://image.tmdb.org/t/p/original/5PtlafpihSE4fm574A5WZbFmsIx.jpg;Familia, Drama;5.5;1;44;https://www.themoviedb.org/tv/77704
Go Go Squid;Go Go Squid;TMDB;2019;[Go Go Squid!] Una cantante se enamora de un chico que tiene demasiado miedo de acercarse. Él es un genio en el campo de la ingeniería informática y una leyenda en el mundo de los video juegos.  Una noche Han Shang Yan entra al cibercafé donde Tong Nian ayuda a su primo a cuidar la tienda en temporada de vacaciones, cuando ve a Han Shang Yan se enamora de él inmediatamente. Por lo general, ella es valiente, sociable y tiene miles de seguidores de covers de cantantes en línea, pero cada vez que tiene un encuentro con Han Shang Yan, se pone nerviosa lo cual le hace posible demostrar sus sentimientos terminando el encuentro en un rotundo fracaso.  Han Shang Yan,es frío y desinteresado, debido a las muchas responsabilidades que tiene en su vida, Shang Yan apenas se percata de que Tong Nian existe, o aeso parece  ¿Podrá la persistencia de Tong Nian romper el caparazón de este enigmático, frío y solitario hombre que que nunca voltea a ver a nadie y necesita ser amado?;https://image.tmdb.org/t/p/original/xVkGOtSgCeDIhsJH0d8zshI4QI2.jpg;Drama;8.1;1;41;https://www.themoviedb.org/tv/82817
Goblin The Lonely and Great God;Goblin The Lonely and Great God;TMDB;2016;Un ser inmortal desea terminar su existencia buscando en todo el mundo su novia que es la destinada a sacar la espada que le atraviesa el pecho y solo ella es capaz de verla, pero luego de conocerse se enamoran y  es cuando todo cambia para el ser inmortal ya que debido al amor que siente encuentra una nueva razón para mantenerse vivo pero con esto pone en peligro a su amada que además es capaz de ver fantasmas, paralelamente existe un ángel de la muerte que se enamora perdidamente de la que resulta ser la reencarnación de la hermana del ser inmortal. Durante el desarrollo de esta serie se pueden disfrutar de momentos que evocan emisiones inimaginable y definitivamente no tiene ni un solo instante desperdiciado.;https://image.tmdb.org/t/p/original/qZMEiTsNlCQV27hHQE27ZtlPWyv.jpg;Drama, Ciencia ficción, Comedia;8.609;1;16;https://www.themoviedb.org/tv/67915
GONG;GONG;TMDB;2017;;https://image.tmdb.org/t/p/original/61L3YhmBjwZW39tZEwhHxiCb3Og.jpg;Comedia, Reality;5.6;2;17;https://www.themoviedb.org/tv/72368
Good Boy;Good Boy;TMDB;2024;;https://image.tmdb.org/t/p/original/bK5z59DxT9aOQ2g8rgQ11hPELXf.jpg;Comedia;8.0;1;4;https://www.themoviedb.org/tv/274844
Good bye Mr.Black;Good bye Mr.Black;TMDB;2016;Un hombre es traicionado por su mejor amigo y denunciado como un  traidor. Él es enviado a otro país, pero escapa y regresa a Corea a  buscar venganza.  Cha Ji Won es un oficial de la UDT de la Fuerza de Operaciones  Especiales de la Marina. Él es positivo y tiene un encanto personal,  pero cae en una situación desesperada debido a la traición de un amigo.  Él pasa por numerosas situaciones de vida o muerte. Cha Ji Won entra  entonces en un matrimonio falso con Swan para ocultar su identidad. A  través del personaje brillante de Swan, Cha Ji Won se enamora y recupera  su confianza de los demás.;https://image.tmdb.org/t/p/original/piCa4skIIHCKB7JpKH2Twx1G25L.jpg;Drama;5.7;1;20;https://www.themoviedb.org/tv/65746
Guardian;Guardian;TMDB;2001;Nick Fallin (Simon Baker), un joven abogado de Pittsburgh, trabaja en el prestigioso despacho de su padre. Lleva una vida completamente despreocupada sin más interés que ir de fiesta en fiesta. Sin embargo, un día es arrestado por un delito de consumo de drogas y condenado a cumplir 1.500 horas de servicio social: su trabajo consiste en representar y defender menores ante los tribunales.;https://image.tmdb.org/t/p/original/ArUr1cQYaphBg7cKp6vjzUmlzUs.jpg;Drama;7.0;3;67;https://www.themoviedb.org/tv/1791
Gyeongseong Creature;Gyeongseong Creature;TMDB;2023;En la primavera de 1945, una época lúgubre y siniestra, un hombre y una mujer luchan por sobrevivir mientras se enfrentan a monstruos nacidos de la avaricia humana.;https://image.tmdb.org/t/p/original/z5ZF5FHNErAle3Kq8kv8eQCC3aR.jpg;Ciencia ficción, Misterio, Acción, Drama;7.929;2;17;https://www.themoviedb.org/tv/135238
Have a Crush On You;Have a Crush On You;TMDB;2024;Lin Yu Meng, un heredero de las artes marciales, daña accidentalmente el auto de lujo de Ji Ling Su, el director ejecutivo de Ji Group. Esto desencadena una cadena de acontecimientos hilarantes que involucran una compensación y un contrato de matrimonio forzado. Mientras Lin Yu Meng navega a través de una montaña de deudas, descubre tensiones ocultas dentro del aparentemente próspero Grupo Ji, impulsadas por la voluntad de la madre biológica de Ji Ling Su.  En medio de derechos mineros, diamantes rosados legendarios y competencia de diseño, Lin Yu Meng ayuda a Ji Ling Su y gradualmente desentraña las complejas emociones que ha cargado durante más de una década. A través de encuentros cómicos, su relación evoluciona y comienzan a explorar los corazones del otro.;https://image.tmdb.org/t/p/original/dEt8LNy74hJVGvaZvhGyFWZO8Tq.jpg;Drama;7.5;1;24;https://www.themoviedb.org/tv/243435
Head Over Heels;Head Over Heels;TMDB;1997;;;Comedia;8.0;1;10;https://www.themoviedb.org/tv/10772
Healer;Healer;TMDB;2014;"¿Cómo se relaciona un evento ocurrido décadas atrás con tres personas que aparentan no tener nada en común? Kim Moon Ho es un popular periodista, Chae Young Shin trabaja como reportera para un diario online de segunda categoría y Seo Jung Hoo es un misterioso mensajero conocido por el pseudónimo ""Healer"". Cuando estas tres personas se encuentren, se embarcarán en una insólita travesía para descubrir qué sucedió años atrás mientras un grupo de amigos operaban una radio emisora pirata, e intentarán ayudar a la gente afectada por el evento. ¿Podrá su afán por descubrir la verdad ayudarlos a descubrir su destino?";https://image.tmdb.org/t/p/original/1XaSHiOkApoQ5n1ECvmXOZzsdmW.jpg;Comedia, Acción, Misterio, Drama;8.305;1;20;https://www.themoviedb.org/tv/61670
Heart of Loyalty;Heart of Loyalty;TMDB;2021;;https://image.tmdb.org/t/p/original/uqiimxBqp32ZfS29pYPfEoy0dtE.jpg;Telenovela, Misterio;3.3;1;24;https://www.themoviedb.org/tv/139776
HeartBeat;HeartBeat;TMDB;1992;;https://image.tmdb.org/t/p/original/jAmkMnqyKP6kD9QlXvJxkxMLwDB.jpg;Crimen, Drama, Comedia;7.2;18;372;https://www.themoviedb.org/tv/2585
Hello Monster;Hello Monster;TMDB;2015;Diferentes personalidades se reúnen en el departamento de Policia de Investigación Especial de Crimenes. Lee Hyun (Seo In Guk) es un genio perfilador de criminales con estudios en psicología criminal, ingenioso y hábil para hablar. Es forzado a trabajar con su colega Cha Ji An (Jang Na Ra), una detective elite que tiene deseos de ser miembro del equipo. ¿Podrán los dos investigadores aprender a trabajar juntos para atrapar a los más peligrosos criminales?;https://image.tmdb.org/t/p/original/6LnvlfevdppZNYg0VptRb7N8fwe.jpg;Misterio, Drama;7.3;1;16;https://www.themoviedb.org/tv/62933
Her Private Life;Her Private Life;TMDB;2019;Sung Duk-mi es una talentosa comisaria de arte y también fan de un miembro del grupo idol llamado Shi-an. Ryan Gold se convierte en el nuevo director de la galería en la que trabaja y poco a poco empieza a interesarse por ella.;https://image.tmdb.org/t/p/original/3JEyBL6nPzgwRpKv7KGrbovHI7A.jpg;Comedia, Drama;7.6;1;16;https://www.themoviedb.org/tv/87553
Hidden Love;Hidden Love;TMDB;2021;;https://image.tmdb.org/t/p/original/Cp5disCGMFMgzM9yw3aurTSOQo.jpg;Drama, Comedia;8.7;1;14;https://www.themoviedb.org/tv/121489
High School Return of a Gangster;High School Return of a Gangster;TMDB;2024;;https://image.tmdb.org/t/p/original/guuoyXHXgc6iTn1qPBCi9L15kht.jpg;Ciencia ficción, Drama;8.453;1;8;https://www.themoviedb.org/tv/224030
Hospital Playlist;Hospital Playlist;TMDB;2020;Cinco médicos comparten el amor por la música mientras trabajan en el mismo hospital.;https://image.tmdb.org/t/p/original/zy0FJYPsKkfOrZG5r5lFtTIx1up.jpg;Drama, Comedia;8.5;2;24;https://www.themoviedb.org/tv/96102
Hotel del Luna;Hotel del Luna;TMDB;2019;Jang Man Wol (IU) es la CEO del Hotel del Luna. El hotel está situado en el centro de Seúl y tiene una apariencia muy misteriosa. Ella cometió un gran pecado hace muchos años y, debido a esto, ha estado atrapada en el Hotel del Luna. Aunque hermosa como la luna, tiene mal carácter, es desconfiada y codiciosa.  Goo Chan Sung (Yeo Jin Goo) trabajó como el subdirector más joven en una corporación hotelera multinacional. Es un sincero perfeccionista. Parece sensato, pero en realidad tiene una disposición suave. Debido a un caso inesperado, comienza a trabajar como gerente en el Hotel del Luna.  El hotel del Luna es habitado por clientes fantasmas.;https://image.tmdb.org/t/p/original/uuQvLgr3xWuW5bb4LeR1jwa0G82.jpg;Ciencia ficción, Drama, Comedia;8.519;1;16;https://www.themoviedb.org/tv/90447
Hotel Del Luna (COR);Hotel Del Luna (COR);TMDB;2019;Jang Man Wol (IU) es la CEO del Hotel del Luna. El hotel está situado en el centro de Seúl y tiene una apariencia muy misteriosa. Ella cometió un gran pecado hace muchos años y, debido a esto, ha estado atrapada en el Hotel del Luna. Aunque hermosa como la luna, tiene mal carácter, es desconfiada y codiciosa.  Goo Chan Sung (Yeo Jin Goo) trabajó como el subdirector más joven en una corporación hotelera multinacional. Es un sincero perfeccionista. Parece sensato, pero en realidad tiene una disposición suave. Debido a un caso inesperado, comienza a trabajar como gerente en el Hotel del Luna.  El hotel del Luna es habitado por clientes fantasmas.;https://image.tmdb.org/t/p/original/uuQvLgr3xWuW5bb4LeR1jwa0G82.jpg;Ciencia ficción, Drama, Comedia;8.519;1;16;https://www.themoviedb.org/tv/90447
Hotelier;Hotelier;TMDB;2007;Jin Young es una chica de mente abierta y mucha energía que trabaja para  el Hotel Seúl. Su ex-novio Tae Joon se vio obligado a renunciar a su  trabajo como gerente del hotel, debido a un problema con un huésped. Sin  embargo, el dueño del hotel ha guardado siempre gran admiración,  incluso más que a su propio hijo, Young Jae. Cuando el dueño del hotel  muere de un infarto, su esposa decide que lo mejor es que Jin Young vaya  a buscar a Tae Joon para que maneje el hotel que poco a poco se cae a  pedazos. Otro hombre, Kim Bock-man, quiere apoderarse del hotel y decide  ir por Dong Hyuk a quien considera la persona indicada para el trabajo.  Cuando Jin Young va a buscar a Tae Joon, se encuentra por primera vez  con Dong Hyuk. Al regresar todos a Corea, Dong Hyuk experimenta por  primera vez el amor mientras le arreglan una relación con Yoon Hee. La  relación entre Jin Young y Tae Joon no es tan sólida como parece y Jin  Young se ve atrapada entre dos hombres.;https://image.tmdb.org/t/p/original/bkO9OFHymiEYCDjHas0S8SGJsQ2.jpg;Drama;0.0;1;9;https://www.themoviedb.org/tv/37986
Hwarang - The Poet Warrior Youth;Hwarang - The Poet Warrior Youth;TMDB;2016;Es común que la historia esté hecha a costa de jóvenes realmente apasionados y talentosos. Durante el Reino de Silla, un grupo de jóvenes de élite conocido como Hwarang ejercerían una gran influencia. Estos caballeros elegantes y talentosos - Moo Myung, Sam Maek Jong, Soo Ho, Ban Ryu, Yeo Wool, Han Sung y la doncella Ah Ro - podían engañar y vencer a cualquiera mientras promovían la justicia en Seorabeol, la ciudad capital. Uno de ellos se convertirá en el Rey Jin Heung de Silla para cambiar el curso de la historia.;https://image.tmdb.org/t/p/original/oxB2LOu6jH8pxRi6shblcXRmqBQ.jpg;Drama, Comedia, Acción;7.9;1;20;https://www.themoviedb.org/tv/66496
I Am Not a Robot;I Am Not a Robot;TMDB;2019;;https://image.tmdb.org/t/p/original/dJzMfQ3MFrEOHeIWm9yHgf5DOoV.jpg;Ciencia ficción;6.2;1;12;https://www.themoviedb.org/tv/90194
I Hear Your Voice;I Hear Your Voice;TMDB;2013;Park Soo Ha es un chico de escuela secundaria que adquirió la capacidad sobrenatural de leer los pensamientos de la gente tras un accidente en el que falleció su padre. Él se encuentra en la búsqueda de una mujer a la que prometió proteger hace 10 años.  Jang Hye Sung es una defensora pública, una mujer amargada que no tiene modales y le resulta difícil estar entusiasmada con lo que hace. Su vida cambiará cuando se encuentre con Park Soo Ha, un joven que la ayudará a resolver sus casos en la corte con su gran habilidad. Poco a poco irán desarrollando sentimientos el uno por el otro mientras descubren que sus vidas llevan conectadas desde hace mucho tiempo.;https://image.tmdb.org/t/p/original/jAn6ENYEt9p1YHxhsNiTPPtP5zD.jpg;Comedia, Drama, Misterio, Ciencia ficción;8.0;1;18;https://www.themoviedb.org/tv/54477
If You Wish Upon Me;If You Wish Upon Me;TMDB;2022;"La historia de los pacientes y los cuidadores de un departamento de cuidados paliativos. Es la historia de personas que sueñan con ""morir bien"".";https://image.tmdb.org/t/p/original/sYbmm7OTUiFZkIelWN5wHBesXjH.jpg;Drama;7.7;1;16;https://www.themoviedb.org/tv/135154
Innocent Man;Innocent Man;TMDB;2018;Cuenta la historia de Ron Williamson, un hombre que estuvo en el corredor de la muerte de Oklahoma durante 11 años por un crimen que no había cometido. La miniserie se basa en el libro de John Grisham The Innocent Man: Murder and Injustice in a Small Town.;https://image.tmdb.org/t/p/original/9HxksstZvhE46L0Kt9d0gj3zvHq.jpg;Documental, Crimen;6.921;1;6;https://www.themoviedb.org/tv/84651
Its Okay to Not Be Okay;Its Okay to Not Be Okay;TMDB;2025;;https://image.tmdb.org/t/p/original/7rQ7E7u0y8VJgnUeDT6oF1J32Gu.jpg;Drama, Comedia;9.7;1;80;https://www.themoviedb.org/tv/241506
Kill It;Kill It;TMDB;2019;Kim Soo Hyun es un asesino a sueldo que puede volver cualquier objeto un arma contra la gente. Con la habilidad de poder evaluar la situación rápidamente, desarolla el plan perfecto para matar e irse. Le cuesta crear relaciones con la gente alrededor suya, pero siempre busca amor.  Do Hyun Jin se graduó en lo más alto de su clase en la academia de policia y trabaja como una detective en Seúl. Tiene buena intuición y cree en sus instintos, pero también tiene que confiar en los datos cientificos para hacer la mejor decisión. Se ve fría por fuera, pero tiene simpatía por el dolor de los demás.;https://image.tmdb.org/t/p/original/87E0aRkm3s7FySbp5tmKqwpjeBZ.jpg;Drama, Acción, Crimen, Misterio;7.6;1;12;https://www.themoviedb.org/tv/87185
Kill Me, Heal Me;Kill Me, Heal Me;TMDB;2015;"Cha Do Hyun sufre de trastorno de personalidad múltiple después de  pasar por numerosos traumas que amenazaron su vida. Intentará volver a  su vida normal con la ayuda de una residente de primer año en  psiquiatría llamada Oh Ri Jin. Las ""siete personas"" a quienes él creó en  su mente como diferentes métodos de escape comenzarán una batalla para  determinar quién tendrá el control de su vida.  Oh Ri On es el hermano gemelo de Oh Ri Jin. Es un escritor  extremadamente famoso que se oculta bajo el seudónimo de ""Omega"", del  que nadie conoce su apariencia salvo su familia y su editor. Para el  resto del mundo es un desempleado sin preocupaciones, pero en su  interior guarda varios secretos; secretos que incluye en sus libros para  poder tener la excusa de investigarlos, y que de alguna manera  involucran a Cha Do Hyun, su familia, y cierto incidente del pasado.";https://image.tmdb.org/t/p/original/kpOGEfVJApCiEeyTHGvQEHBuaZ8.jpg;Comedia, Drama, Misterio;8.1;1;20;https://www.themoviedb.org/tv/62266
King the Land;King the Land;TMDB;2023;En plena disputa por el control de la empresa familiar, un encantador heredero choca con una empleada conocida por su irresistible sonrisa... que él no puede soportar.;https://image.tmdb.org/t/p/original/7LiOlsfy8rlD9BojJ8qSYqFh4e4.jpg;Drama, Comedia;8.192;1;16;https://www.themoviedb.org/tv/198004
KinnPorsche The Series La Forte;KinnPorsche The Series La Forte;TMDB;2022;Kinn Anakinn es el segundo hijo de la mafia. Porsche Pitchaya es un joven estudiante que fue contratado como mesero a tiempo parcial en un establecimiento de entretenimiento.  Un día Kinn es interceptado por sus enemigos y Porsche que ve la escena al principio decide no involucrarse, pero entonces Kinn le ofrece dinero a cambio de rescatarlo. Porsche que tiene excelentes habilidades de combate y es campeón nacional de judo, ayuda a Kinn a escapar y debido a esto Kinn quiere contratar a Porsche como su guardaespaldas personal.  Porsche se opone y rechaza a Kinn, pero este hará cualquier cosa para conseguir lo que quiere. Al final Porsche acepta los ridículos terminos de Kinn y se muda a vivir con él. Pero, la intimidad con Kinn crea un sentimiento turbulento en sus corazones.;https://image.tmdb.org/t/p/original/mZTfgB9Wi1dtHa5gQAYvbPH15YO.jpg;Acción, Crimen, Drama;8.689;1;14;https://www.themoviedb.org/tv/117067
La Gloria;La Gloria;TMDB;2022;Muchos años después de ser brutalmente agredida en el instituto, una mujer pone en marcha un elaborado plan de venganza para que los responsables paguen por sus crímenes.;https://image.tmdb.org/t/p/original/pcSIunriRyDLQlPNWn4SaFem78L.jpg;Drama;8.5;1;16;https://www.themoviedb.org/tv/136283
La Vida Fabulosa (ESP);La Vida Fabulosa (ESP);TMDB;2020;;https://image.tmdb.org/t/p/original/ws4LMA2OoMS9oVyorRfdoRr78NU.jpg;Reality;4.5;3;24;https://www.themoviedb.org/tv/113877
Law School;Law School;TMDB;2021;Sigue el caso del asesinato de un profesor en la escuela de derecho de más prestigio de Corea del Sur, convirtiéndose los alumnos y profesores en los sospechosos del asesinato.;https://image.tmdb.org/t/p/original/epxYmFG584Bqyy0gkV9Y0cNh6Wh.jpg;Drama, Crimen, Misterio;7.8;1;16;https://www.themoviedb.org/tv/119773
Legend of the Female General;Legend of the Female General;TMDB;2025;Una general con una apariencia gentil pero un espíritu fuerte en su interior, y un general con un exterior y un interior fríos pero con una destreza marcial más fuerte. Los dos unen sus fuerzas para combatir el engaño, ayudar a los débiles y eliminar las amenazas externas.;https://image.tmdb.org/t/p/original/zHy4pWFdJLzR4AkKcelpr20R3tN.jpg;Drama;8.029;1;36;https://www.themoviedb.org/tv/240686
Love Alarm;Love Alarm;TMDB;2019;El drama gira en torno a un desarrollador desconocido que lanza una aplicación que le dirá al usuario si alguien dentro de los 10 metros tiene sentimientos románticos por ellos, y la nueva tecnología altera enormemente la sociedad.;https://image.tmdb.org/t/p/original/exs2j0AMDNa3rmrnx6QBn0GQtAq.jpg;Drama, Ciencia ficción;8.3;2;14;https://www.themoviedb.org/tv/89641
Love Is An Accident;Love Is An Accident;TMDB;2023;;https://image.tmdb.org/t/p/original/dgYXyeRzWCndsxWPSDrebQAf6FD.jpg;Comedia, Drama, Ciencia ficción;8.2;1;32;https://www.themoviedb.org/tv/234957
Love is Sweet;Love is Sweet;TMDB;2025;;https://image.tmdb.org/t/p/original/bwUq9tpZ1btu2t9uKLEdz7e7Oa1.jpg;;10.0;1;1;https://www.themoviedb.org/tv/312287
Love Like the Galaxy;Love Like the Galaxy;TMDB;2022;Cheng Shao Shang desde niña se quedó en casa de su abuela porque sus padres debían ir a luchar en la guerra. Para protegerse de su tía intrigante, tuvo que ser diligente mientras fingía ser lo contrario. Sin embargo, años de distanciamiento con sus padres han hecho difícil para ellos volver a ser una familia.  Sin amor toda su vida, Cheng Shao Shang es a la vez pragmática e insegura a la hora de elegir pareja para el matrimonio. Se encuentra con tres hombres: el hijo adoptivo del emperador, Ling Bu Yi, el talentoso Yuan Shen de la montaña Bailu, y el aristócrata Lou Yao, cada uno con sus pros y contras. Aunque el camino hacia el amor está lleno de baches, ella nunca se arrepiente de cada elección que hace. A través de sus interacciones con Ling Bu Yi, sin querer se involucra en el misterio que rodea a su familia y su identidad. Los dos crecen a partir de sus experiencias y trabajan juntos, manteniendo la justicia en sus corazones para resolver una crisis nacional.;https://image.tmdb.org/t/p/original/kpokVycYbMQMIjNr9dHSqylOmUm.jpg;Drama;7.6;1;56;https://www.themoviedb.org/tv/137870
Love O2O;Love O2O;TMDB;2016;¿Qué es lo que hace que un hombre se enamore de una mujer a primera vista? ¿Apariencia? ¿Aura? ¿Riqueza? NO, cuando el príncipe del campus y el experto en juegos, el estudiante Xiao Nai vio por primera vez Wei Bei Wei, lo que lo hizo caer en el amor no era su belleza extraordinaria, pero sus delgados y delgados dedos que volaban a través del teclado y su manera tranquila y compuesta! ! Es embarazoso, ¿no? Al mismo tiempo, el experto en juegos Bei Wei Wei, en este momento y lugar está en la computadora, metódicamente comandando una guerra de gremio, y ganó una victoria perfecta y gloriosa a pesar de estar en desventaja, y estaba completamente inconsciente de que Cupido está cerca. Poco después de que el jugador de baloncesto, el nadador, excelente estudiante y el presidente de la compañía de juegos, Xiao Nai, use ambas tácticas en línea y fuera de línea para tomar el corazón de esta belleza. Por lo tanto, este romance lentamente floreció.;https://image.tmdb.org/t/p/original/5Fqfeae6lVybzIJXSVGkExou1bP.jpg;Drama, Comedia;6.8;1;30;https://www.themoviedb.org/tv/66776
