Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug
Europa Universalis V v1.0.0 ElAmigos;Europa Universalis: Rome - Gold Edition;RAWG;2008.0;Europa Universalis Rome Gold combina el épico título de estrategia antigua con su expansión Vae Victis. Lidera a Roma o a cualquier civilización mediterránea clásica hacia la gloria mediante el dominio militar, político y cultural.;https://media.rawg.io/media/screenshots/587/5870e2c822e51b950ea8da529e788b82.jpg;Strategy;Paradox Development Studio;Paradox Interactive;3.0;79.0;europa-universalis-rome-gold-edition
Fable - The Lost Chapters;Fable: The Lost Chapters;RAWG;2005.0;Fable: The Lost Chapters es la edición ampliada para PC del Fable original. En el mundo de Albion, forja a tu propio héroe a través de decisiones que afectan a tu apariencia y moralidad, tan bueno o malvado como decidas.;https://media.rawg.io/media/games/aa2/aa25254dbfa5b2073595bf69d8c8bac4.jpg;Action, Adventure, RPG;Lionhead Studios, Big Blue Box Studios;Microsoft Studios;4.44;83.0;fable
Fable 3;Fable III;RAWG;2010.0;Ambientada medio siglo después de Fable II, el tercer juego ve al príncipe o princesa de Albion liderando una revolución contra un rey tiránico, para descubrir que gobernar es mucho más complicado que rebelarse.;https://media.rawg.io/media/games/827/8276bc29cdc27752e27802b94aea255e.jpg;Action, RPG;Lionhead Studios;Microsoft Studios;3.73;78.0;fable-3
Factorio-GOG;Daggerfall Unity - GOG Cut;RAWG;;Una versión reimaginada del clásico RPG Elder Scrolls Daggerfall, reconstruida en Unity. Explora un vasto mundo generado proceduralmente en la región de la Bahía Ilíaca con gráficos mejorados, soporte para mods y controles modernos.;https://media.rawg.io/media/screenshots/92c/92c15660f548971664fdcc66bf15e729.jpg;;GOG;GOG;0.0;;daggerfall-unity-gog-cut
Fallout 3 Game of the Year Edition v1.7;Fallout 3;RAWG;2008.0;Fallout 3 es un legendario action-RPG ambientado en el páramo postnuclear de Washington D.C. Juega como el Solitario, que abandona la seguridad del Refugio 101 para buscar a un padre desaparecido en un mundo brutal e irradiado.;https://media.rawg.io/media/games/5a4/5a4e70bb8a862829dbaa398aa5f66afc.jpg;Shooter, RPG;Bethesda Game Studios;Bethesda Softworks;4.08;91.0;fallout-3
Fallout 4 v1.10.163 (04.12.2019);Fallout 4;RAWG;2015.0;La cuarta entrega de la saga action-RPG postapocalíptica. Emerge del Refugio 111 hacia las ruinas de Boston, 200 años después de la guerra nuclear. Construye asentamientos, únete a facciones y busca a tu hijo desaparecido en la Commonwealth.;https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg;Action, RPG;Bethesda Game Studios;Bethesda Softworks;3.81;84.0;fallout-4
Fallout New Vegas Ultimate Edition v1.4.0.525;Fallout: New Vegas;RAWG;2010.0;Fallout: New Vegas es la segunda entrega tras el relanzamiento de la saga. Un mensajero dado por muerto en el desierto de Mojave busca venganza y queda atrapado en un conflicto por el futuro de New Vegas entre grandes facciones en guerra.;https://media.rawg.io/media/games/995/9951d9d55323d08967640f7b9ab3e342.jpg;Action, Shooter, RPG;Obsidian Entertainment;Bethesda Softworks;4.43;84.0;fallout-new-vegas
Far Cry 2 Fortune's Edition;Far Cry 2;RAWG;2008.0;Ponte en la piel de un mercenario enviado a una nación africana devastada por la guerra civil para eliminar a un traficante de armas conocido como el Chacal. Navega entre facciones, enfermedades y brutal combate en mundo abierto en este shooter sin concesiones.;https://media.rawg.io/media/games/89e/89e913f4ba5260cfb8b775667f81c23a.jpg;Action, Shooter;Ubisoft, Ubisoft Montreal;Ubisoft Entertainment;3.46;85.0;far-cry-2-fortunes-edition
Far Cry 3 Complete Collection;Far Cry;RAWG;2004.0;El juego que inició la saga Far Cry. Controla a Jack Carver, varado en una isla tropical invadida por mercenarios y experimentos mutantes, usando el sigilo y la fuerza de fuego para descubrir una aterradora conspiración.;https://media.rawg.io/media/games/2ee/2eef5ed5e82c28d1299ecc2a0e60f2cb.jpg;Action, Shooter;Ubisoft, Crytek;Ubisoft Entertainment;3.9;89.0;far-cry
Far Cry 4;Far Cry 4;RAWG;2014.0;Far Cry 4 es un shooter en primera persona ambientado en la ficticia región himalaya de Kyrat, gobernada por el excéntrico y violento dictador Pagan Min. Únete a una rebelión y lucha por la libertad en un impresionante mundo abierto.;https://media.rawg.io/media/games/b39/b396dac1f3e0f538841aa0355dd066d3.jpg;Shooter;Ubisoft, Ubisoft Montreal;Ubisoft Entertainment;3.82;80.0;far-cry-4
Far Cry 5;Far Cry 5;RAWG;2018.0;Far Cry 5 es un shooter en primera persona en mundo abierto. Una secta llamada Puerta del Edén ha tomado el control del condado de Hope, en Montana. Lucha junto a combatientes de la resistencia para liberar el condado del fanático Father.;https://media.rawg.io/media/games/bce/bce62fbc7cf74bf6a1a37340993ec148.jpg;Action, Shooter;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Shanghai, Ubisoft Kiev, Red Storm;Ubisoft Entertainment;3.72;80.0;far-cry-5
Far Cry 6;Far Cry 6;RAWG;2021.0;Bienvenido a Yara, un paraíso tropical congelado en el tiempo. Mientras el dictador Antón Castillo cría a su hijo para gobernar la isla, se desata una revolución. Tú eres Dani Rojas: lucha por tu patria contra un régimen despiadado.;https://media.rawg.io/media/games/5dd/5dd4d2dd986d2826800bc37fff64aa4f.jpg;Action, Shooter, Adventure;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Shanghai, Ubisoft Kyiv, Ubisoft Berlin;Ubisoft Entertainment;3.36;75.0;far-cry-6
Far Cry Primal Apex Edition v1.3.3;Far Cry;RAWG;2004.0;El juego que inició la saga Far Cry. Controla a Jack Carver, varado en una isla tropical invadida por mercenarios y experimentos mutantes.;https://media.rawg.io/media/games/2ee/2eef5ed5e82c28d1299ecc2a0e60f2cb.jpg;Action, Shooter;Ubisoft, Crytek;Ubisoft Entertainment;3.9;89.0;far-cry
Farm Together 2;Farm Together 2;RAWG;2024.0;¡La exitosa experiencia agrícola regresa! Farm Together 2 mejora el original con nuevos cultivos, animales y opciones de construcción en una relajada simulación agrícola cooperativa.;https://media.rawg.io/media/screenshots/1ec/1ec63c5d5376307155ee6f403ef8c2a3.jpg;Simulation, Casual, Indie;Milkstone Studios;Milkstone Studios;0.0;;farm-together-2
Fear & Hunger 2 - Termina v1.9.1;Fear & Hunger 2: Termina;RAWG;2022.0;Solo tienes 3 días para descubrir los secretos que esconde esta tierra maligna. Fear & Hunger 2: Termina es un brutal RPG de survival horror ambientado en un pueblo festivo donde los concursantes deben sobrevivir... o morir en el intento.;https://media.rawg.io/media/screenshots/3ec/3ecb2152d1545f7cac9380c7b6d25a1c.jpg;RPG, Indie;Miro Haverinen;Miro Haverinen;4.22;;fear-hunger-2-termina
Fear & Hunger v1.4.1;Fear & Hunger 2: Termina;RAWG;2022.0;Solo tienes 3 días para descubrir los secretos que esconde esta tierra maligna. Fear & Hunger 2: Termina es un brutal RPG de survival horror ambientado en un pueblo festivo donde los concursantes deben sobrevivir... o morir en el intento.;https://media.rawg.io/media/screenshots/3ec/3ecb2152d1545f7cac9380c7b6d25a1c.jpg;RPG, Indie;Miro Haverinen;Miro Haverinen;4.22;;fear-hunger-2-termina
FIFA 15 1.4.0.0;FIFA 15;RAWG;2014.0;FIFA 15 trae el fútbol a la vida con impresionante detalle. Vive la emoción del deporte con modelos de jugadores auténticos, jugabilidad mejorada y todas las ligas oficiales, clubes y más de 16.000 jugadores.;https://media.rawg.io/media/games/be5/be51faf9bec778b4ea1b06e9b084792c.jpg;Sports;Electronic Arts Canada;Electronic Arts;3.37;82.0;fifa-15
Fifa 19;FIFA 19;RAWG;2018.0;Impulsado por Frostbite, EA SPORTS FIFA 19 ofrece una experiencia de nivel campeón dentro y fuera del campo, incluyendo la UEFA Champions League y mecánicas de juego actualizadas.;https://media.rawg.io/media/games/b59/b59560a7277b16b53e4786b4abe45baa.jpg;Simulation, Sports;Electronic Arts Vancouver;EA SPORTS;3.31;80.0;fifa-19
Fifa 23 v1.0.82.43747;Fifa 23 (Itch);RAWG;2022.0;Sin sinopsis disponible.;https://media.rawg.io/media/screenshots/52a/52ad785b9d1514f100ec89c6d5f22e8c.jpg;Casual;FreakyGe;;0.0;;fifa-23
Final Fantasy IX v06.08.2020;Final Fantasy IX;RAWG;2000.0;Final Fantasy IX es un videojuego de rol del año 2000 que sigue al ladrón Zidane Tribal, quien secuestra a la Princesa Garnet y queda atrapado en un conflicto que amenaza al mundo. Una carta de amor al estilo clásico de Final Fantasy.;https://media.rawg.io/media/games/826/82626e2d7ee7d96656fb9838c2ef7302.jpg;Adventure, RPG;Square Enix, Sony Interactive Entertainment, Square, GUILD STUDIO, Guld Studio, Silicon Studio Thailand;Electronic Arts, Square Enix, Square;4.35;84.0;final-fantasy-ix
Final Fantasy VIII Remastered;FINAL FANTASY VIII;RAWG;1999.0;Final Fantasy VIII es un RPG japonés, la octava entrega principal. Sigue al mercenario SeeD Squall Leonhart y a la hechicera Rinoa mientras una misteriosa amenaza del futuro pone al mundo en peligro.;https://media.rawg.io/media/games/f77/f77510051b6a61decc35c5257193fc9e.jpg;RPG;Square;Square Enix, Microsoft Studios, Eidos Interactive, Square, SCE Australia;4.28;90.0;final-fantasy-viii
Final Fantasy X?X-2 HD Remastered;FINAL FANTASY X/X-2 HD Remaster;RAWG;2013.0;FINAL FANTASY X sigue a Tidus, una estrella del blitzball que viaja al mundo de Spira, donde se une a la peregrinación liderada por la invocadora Yuna para derrotar al colosal monstruo llamado Sin. Incluye la secuela FFX-2 en remasterización HD.;https://media.rawg.io/media/games/a14/a14acef284eaa4854f83c99e80fc15d8.jpg;RPG;Square Enix, Virtuos;Square Enix;4.34;85.0;final-fantasy-xx-2-hd-remaster
Five Nights at Freddys Security Breach (build 23.08.2023);Five Nights at Freddy's: Security Breach;RAWG;2021.0;El siguiente capítulo del miedo. Security Breach te permite explorar el megacomplejo de entretenimiento Freddy Fazbear's Mega Pizzaplex como Gregory, un joven atrapado que debe sobrevivir una noche entero mientras los animatrónicos Glamrock lo persiguen.;https://media.rawg.io/media/games/f5b/f5b0a8232e747c03aa6b56ce2d2af49a.jpg;Action, Adventure, Indie;Steel Wool Studios;ScottGames;2.91;64.0;five-nights-at-freddys-security-breach
Flat Out 2;Flat Heroes;RAWG;2016.0;Flat Heroes es un minimalista e intensísimo juego de acción local para varios jugadores con modos cooperativos y competitivos. Supera precisos retos de plataformas con hasta 4 jugadores en un mundo abstracto y colorido.;https://media.rawg.io/media/screenshots/8f5/8f5a4e32988c86cfc92e592c3b6c43ac.jpg;Action, Indie, Platformer;Parallel Circles, FlatHeroes;Deck13, Deck 13, Parallel Circles;3.3;82.0;flat-heroes
Foundation v1.10.2.0;Foundation;RAWG;2019.0;Foundation es una simulación de construcción de ciudades sin cuadrícula y de crecimiento orgánico. Construye un asentamiento medieval desde cero, gestiona recursos y población mientras desbloqueas nuevos edificios y administras las necesidades de tus ciudadanos.;https://media.rawg.io/media/screenshots/cd1/cd1f9f5a5c38c722be96a3f6dac638e3.jpg;Strategy, Simulation, Indie;Polymorph Games;Polymorph Games;3.55;;foundation
Frostpunk v03.08.2022;Frostpunk;RAWG;2018.0;En un mundo completamente congelado, la humanidad ha desarrollado tecnología de vapor para sobrevivir. Como líder de la última ciudad de la Tierra, construye y gestiona una metrópolis impulsada por carbón, equilibrando la supervivencia con decisiones morales cada vez más difíciles.;https://media.rawg.io/media/games/a88/a886c37bf112d009e318b106db9d420a.jpg;Strategy, Simulation;11 Bit Studios;11 bit studios;4.19;85.0;frostpunk
Gas Station Simulator v06.03.2025;Gas Station Simulator;RAWG;2021.0;Construye y gestiona tu propia gasolinera desde cero. Repara coches, reabastecer estantes, limpia surtidores y mejora tus instalaciones en este relajante juego de gestión y simulación.;https://media.rawg.io/media/screenshots/050/050288ef5c2ecb1e8272caf0ce077d7e.jpg;Simulation, Indie;Drago Entertainment;Movie Games, DRAGO entertainment;3.83;72.0;gas-station-simulator
Gears of War 1 v1.3;Gears of War: Reloaded;RAWG;2025.0;Vive el origen de una de las franquicias más aclamadas del videojuego como nunca antes. Gears of War: Reloaded es una versión completamente remasterizada del juego original con visuales mejorados y jugabilidad modernizada.;https://media.rawg.io/media/games/213/213248f2ede0b914431446123b291cc0.jpg;Action, Shooter;The Coalition;Microsoft Studios, Xbox Game Studios;2.84;;gears-of-war-reloaded
Gears of War 2016 Ultimate Edition;Gears of War;RAWG;2006.0;Gears of War, diseñado por Cliff Bleszinski, revolucionó los disparos con cobertura. Controla a Marcus Fenix, un soldado que lucha contra la Horda Locust en una brutal guerra por salvar a la humanidad en el planeta Sera.;https://media.rawg.io/media/games/988/98834d39955e7f15d3717fac438128aa.jpg;Action, Shooter;Epic Games, People Can Fly;Microsoft Studios;4.12;90.0;gears-of-war
Ghost of Tsushima DIRECTOR'S CUT v1053.0718;Ghost of Tsushima Director's Cut;RAWG;2021.0;Vive la aventura completa de Ghost of Tsushima incluyendo la expansión de la Isla Iki. Controla al samurái Jin Sakai mientras combate la invasión mongola de Tsushima, forjando un nuevo camino que rompe el código del samurái.;https://media.rawg.io/media/games/193/193c9fe23ca026914fdf41d551ff3df9.jpg;Action, Adventure, RPG;Sucker Punch Productions;Sony Interactive Entertainment;4.58;;ghost-of-tsushima-directors-cut
Ghostrunner 2 Brutal Edition;Ghostrunner 2;RAWG;2023.0;Ghostrunner 2 es un brutal slasher en primera persona en un mundo cyberpunk postapocalíptico. Golpea, para y corre sobre obstáculos imposibles a una velocidad vertiginosa, mientras nuevas secuencias en moto amplían la acción.;https://media.rawg.io/media/games/d27/d27010266d135dc7407364e1733484bc.jpg;Action;One More Level;505 Games;3.73;;ghostrunner-2
God of War II;God of War II;RAWG;2007.0;El juego se basa en gran medida en la mitología griega antigua y la usa como inspiración y fuente principal para el diseño de enemigos y NPC, así como para el diseño de ubicaciones. Sin embargo, el juego no es una gran fuente de hechos históricos precisos: la historia de la Antigua Grecia fue reescrita en aras del género y el universo del juego, cuyas reglas se establecieron en la primera parte. ###La historia El rey de los dioses Zeus traiciona a Kratos y lo mata, pero el espartano es salvado del Inframundo por otra diosa, Gaia, quien invita a Kratos a encontrar a las Hermanas del Destino y viajar al pasado para evitar su propia muerte. La jugabilidad se mantuvo igual: el jugador puede usar varios ataques, que se pueden combinar y mejorar con la ayuda de la moneda del juego recolectada de los enemigos. El juego tiene muchos eventos de tiempo rápido, que se usan principalmente en batallas con jefes y para finalizar movimientos de combo. Los jefes en el juego, en comparación con la primera parte, aumentaron significativamente.;https://media.rawg.io/media/games/615/615e9fc0a325e0d87b84dad029b8b7b9.jpg;Action;SCE Studios Santa Monica;Sony Computer Entertainment, ak tronic Software & Services;4.4;93;god-of-war-ii
Governador of Poker 2;Governor of Poker 2 - Premium Edition;RAWG;2010.0;La Premium Edition incluye 6 ciudades extra, 10 ubicaciones de póker adicionales y 5 oponentes más notorios. Triunfa en el póker del Salvaje Oeste y gana todos los torneos para convertirte en el definitivo Gobernador del Póker.;https://media.rawg.io/media/screenshots/651/651b9f3e4a0ad643ca7f802f96852e65.jpg;Adventure, Simulation, Casual, Indie;I Sioux Game Productions;;0.0;;governor-of-poker-2-premium-edition
Grand Theft Auto - San Andreas 1.01;Grand Theft Auto: San Andreas;RAWG;2004.0;La séptima entrega de la saga GTA. Controla a Carl 'CJ' Johnson, que regresa a Los Santos tras el asesinato de su madre. Toma el control de las calles, expande el territorio de la pandilla y descubre una enorme conspiración.;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action;Rockstar North, War Drum Studios;Capcom, Rockstar Games, 1C-SoftClub;4.5;93.0;grand-theft-auto-san-andreas
Grand Theft Auto - Vice City 1.1;Grand Theft Auto: Vice City;RAWG;2002.0;Grand Theft Auto: Vice City es un shooter en tercera persona con mundo abierto ambientado en el Miami de 1986. Controla a Tommy Vercetti, un sicario de la mafia que construye un imperio criminal en una ciudad de neón, exceso y cocaína.;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action;Rockstar North;Rockstar Games;4.45;94.0;grand-theft-auto-vice-city
Grand Theft Auto IV Complete Edition v1.2.0.59;Grand Theft Auto IV;RAWG;2008.0;Cada historia criminal es una historia de búsqueda del éxito. Controla a Niko Bellic, un inmigrante del Este de Europa que llega a Liberty City persiguiendo el Sueño Americano, solo para verse arrastrado de nuevo a una vida de crimen.;https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg;Action, Adventure;Rockstar North;Capcom, Rockstar Games, Take Two Interactive;4.26;95.0;grand-theft-auto-iv
Grand Theft Auto V Enhanced v812.6;Grand Theft Auto V;RAWG;2013.0;Rockstar Games lo apostó todo en esta entrega. Juega como tres protagonistas  - Michael, Trevor y Franklin -  en un vasto mundo abierto que recrea Los Ángeles, ejecutando elaborados golpes y viviendo una sátira de la América moderna.;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action;Rockstar North, Rockstar Games;Rockstar Games;4.47;92.0;grand-theft-auto-v
Grand Theft Auto V v1.59 + Update 1.64 (Build 2802; 13.12;Grand Theft Auto V;RAWG;2013.0;Rockstar Games lo apostó todo en esta entrega. Juega como tres protagonistas  - Michael, Trevor y Franklin -  en un vasto mundo abierto de crimen, atracos y satírico comentario social sobre la América contemporánea.;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action;Rockstar North, Rockstar Games;Rockstar Games;4.47;92.0;grand-theft-auto-v
GRANY;Zork: Grand Inquisitor;RAWG;1997.0;La magia ha sido prohibida en el gran Imperio Subterráneo de Zork. Por decreto del Gran Inquisidor, los usuarios de magia son 'totémizados'. Como el último aventurero no cualificado, debes restaurar la magia en Zork.;https://media.rawg.io/media/screenshots/6b6/6b681b12e884ed1c9469a6a99290951d.jpg;Action, Adventure;Activision;Activision Blizzard;3.5;;zork-grand-inquisitor
Grim Dawn v1.2.1.5;Grim Dawn;RAWG;2016.0;Grim Dawn es un action-RPG desarrollado por Crate Entertainment, ambientado en un sombrío mundo ficticio inspirado en la época victoriana y devastado por fuerzas sobrenaturales. Crea poderosos personajes con doble combinación de clases.;https://media.rawg.io/media/games/920/92039cd19460532b76f6244b2bb3e4ac.jpg;Action, RPG, Indie;Crate Entertainment;Crate Entertainment;3.96;83.0;grim-dawn
Guilty Gear STRIVE Deluxe Edition 1.35 (26.03.2024); 27 DLC are included;Guilty Gear -Strive;RAWG;2021.0;Descubre la esencia del juego con Guilty Gear -Strive-. Un juego de lucha evolucionado con fluidos combates aéreos, estilosas visuales anime, una banda sonora de heavy metal y un profundo modo historia que continúa el universo de GG.;https://media.rawg.io/media/games/dfe/dfe14d30ed6fccd9db4ae79d3be51d54.jpg;Action, Fighting;Arc System Works, Arc System Works Co.;Arc System Works, Arc System Works Co.;4.23;85.0;guilty-gear-2020
Guitar Hero 3_ Legends of Rock;Guitar Hero III: Legends of Rock;RAWG;2007.0;Sin sinopsis disponible.;https://media.rawg.io/media/games/444/444d319b3156101aeef3d1a8df219f3f.jpg;Arcade;Aspyr Media, Vicarious Visions, Neversoft Entertainment, Budcat Creations;Aspyr, Activision Blizzard;4.38;82.0;guitar-hero-3-legends-of-rock
Hades 2 v1.132940;Hades 2 (2001);RAWG;2001.0;El juego está asociado a un ID incorrecto. Hades II es un roguelike desarrollado por Supergiant Games, secuela del aclamado Hades, donde controlas a Melinoë, hija de Hades, en su lucha contra el Titán del Tiempo.;https://media.rawg.io/media/screenshots/6d6/6d61e8ef67c0f27b29b4f16266dbd9bd.jpg;Shooter;;;0.0;;hades-2-2001
Hades Battle out of Hell 1.38239;Mastema: Out of Hell;RAWG;2017.0;Mastema Out of Hell es un plataformas difícil en pixel art puro de 16 bits. Lucha en niveles inspirados en el infierno llenos de retos de precisión y enemigos demoníacos en este juego de acción de estilo retro.;https://media.rawg.io/media/screenshots/973/973092a1cbf074390285e594a6be8361.jpg;Action, Adventure, Casual, Indie;Oscar Celestini;Forever Entertainment;0.0;;mastema-out-of-hell
Halo 1 Combat Evolved;Halo: Combat Evolved;RAWG;2001.0;La humanidad está en medio de una larga guerra contra una alianza alienígena llamada el Covenant. Como el Jefe Maestro, escapa de una nave destruida y descubre Halo, un misterioso mundo anular que puede albergar el secreto para terminar la guerra... o destruir todo.;https://media.rawg.io/media/games/abf/abffd94ed6fe34027c720bee593c06d2.jpg;Action, Shooter;Bungie;Microsoft Studios;4.33;90.0;halo-combat-evolved
Halo 2;Halo 2;RAWG;2004.0;La raza alienígena del Covenant amenaza con destruir a toda la humanidad, y lo único que se interpone en su camino es el Jefe Maestro. Tanto como el Jefe como el Árbitro, desvela la verdad detrás de los Anillos Sagrados.;https://media.rawg.io/media/games/3bf/3bfc3bd9fda76bf83f6cf1d788e1c7c7.jpg;Action, Shooter;Bungie, Microsoft Game Studios;Microsoft Studios;4.38;84.0;halo-2
Harry Potter I y la Piedra Filosofal;LEGO Harry Potter: Years 1-4;RAWG;2010.0;Construye la aventura desde Privet Drive hasta el Torneo de los Tres Magos. Vive las cuatro primeras películas de Harry Potter en formato LEGO, con el característico humor de la franquicia, juego cooperativo y hechizos coleccionables.;https://media.rawg.io/media/games/694/6940fa3fbe0d836e4a272c468e65e480.jpg;Action, Adventure, Family, Platformer;Feral Interactive, Warner Bros. Interactive, Traveller's Tales;Feral Interactive, Warner Bros. Interactive;3.82;79.0;lego-harry-potter
Harry Potter II y La Camara Secreta;Harry Potter and the Chamber of Secrets;RAWG;2002.0;Sé Harry Potter en una aventura para PC basada en la segunda película. Lanza hechizos, prepara pociones, vuela en tu escoba y resuelve puzles mientras descubres el secreto de la Cámara de los Secretos.;https://media.rawg.io/media/games/d1a/d1aa957423b0f3dbb66b699653b3ad87.jpg;Action, Adventure, Arcade;Eurocom, KnowWonder, EA UK, Griptonite, Argonaut;Electronic Arts;4.11;74.0;harry-potter-and-the-chamber-of-secrets
Harry Potter III and the Prisoner of Azkaban;Harry Potter and the Prisoner of Azkaban;RAWG;2004.0;Los Dementores llegan y Harry necesita a sus amigos. Desde la secuencia inicial hasta el climático final con viajes en el tiempo, vive la tercera película como una aventura jugable llena de magia y misterio.;https://media.rawg.io/media/games/a92/a92fed7dd3f4d70b59896169da5b3660.jpg;Action, Arcade, Platformer;KnowWonder, Electronic Arts UK;Electronic Arts;4.07;68.0;harry-potter-and-the-prisoner-of-azkaban
Harry Potter Quidditch Copa del Mundo;Harry Potter: Quidditch World Cup;RAWG;2003.0;Lleva a cualquiera de las casas de Hogwarts a la victoria en la Copa de Quidditch de Hogwarts, y luego conduce a tu equipo ganador a la Copa del Mundo de Quidditch para representar a tu país en estadios de todo el mundo.;https://media.rawg.io/media/games/477/47700e321facfd148188a09c2408811f.jpg;Action, Sports, Arcade;Electronic Arts, EA UK, Magic Pockets, Visual Science;Electronic Arts, EA SPORTS;3.61;68.0;harry-potter-quidditch-world-cup
Hearts of Iron IV Ultimate Bundle v1.17.0;Hearts of Iron 2 Complete;RAWG;2009.0;Incluye Hearts of Iron II más las dos expansiones Doomsday y Armageddon. Comanda cualquier nación a través de los eventos de la Segunda Guerra Mundial en este complejo juego de gran estrategia que abarca el conflicto global.;https://media.rawg.io/media/screenshots/07d/07dad72dd41319d2ea2752b0b4155626.jpeg;Strategy;Paradox Development Studio;Paradox Interactive;3.43;83.0;hearts-of-iron-2-complete
Hello Neighbor-GOG;Hello Neighbor Pre-Alpha;RAWG;2019.0;Una versión pre-alfa del famoso juego de sigilo y horror Hello Neighbor. Cuélate en la casa de tu espeluznante vecino para descubrir qué esconde en el sótano, mientras él aprende y se adapta a tus tácticas.;https://media.rawg.io/media/screenshots/b93/b9399e47cbe7634ea7d04090d0d300f4.jpg;Adventure, Strategy, Indie;Dynamic Pixels;tinyBuild;2.9;;hello-neighbor-pre-alpha
Hitman 2 Gold Edition;Hitman 2;RAWG;2018.0;Hitman 2 (2018) es la séptima entrega de la saga, secuela de Hitman (2016). Viaja por el mundo como el Agente 47, eliminando objetivos en vastos niveles sandbox con total libertad creativa.;https://media.rawg.io/media/games/858/858c016de0cf7bc21a57dcc698a04a0c.jpg;Action, Shooter;IO Interactive;Warner Bros. Interactive;4.04;83.0;hitman-2
Hitman 2 Silent Assassin;Hitman 2: Silent Assassin;RAWG;2002.0;Hitman 2: Silent Assassin es la segunda parte de la saga Hitman. El retirado asesino 47 es arrastrado de vuelta al mundo de los asesinatos para rescatar a un sacerdote secuestrado que sabe demasiado.;https://media.rawg.io/media/games/683/6833fbb183fd72a61c032501e3bc6d36.jpg;Action, Shooter;Square Enix, IO Interactive;Square Enix, Eidos Interactive;3.94;87.0;hitman-2-silent-assassin
Hitman 2016 - Game of the Year Edition;Hitman;RAWG;2016.0;Hitman (2016) es un juego episódico con diferentes contratos en todo el globo. Controla al Agente 47 en enormes niveles sandbox creativos  - desde un desfile de moda en París hasta un barrio marginal en Bombay -  eliminando objetivos como más te plazca.;https://media.rawg.io/media/games/16b/16b1b7b36e2042d1128d5a3e852b3b2f.jpg;Action, Shooter, Simulation;Feral Interactive, Square Enix, IO Interactive;Square Enix, Feral Interactive, Warner Bros. Interactive;3.93;83.0;hitman
Hitman Absolution;Hitman: Absolution;RAWG;2012.0;La secuela directa de Hitman: Blood Money. El Agente 47 se vuelve un renegado para proteger a una misteriosa chica llamada Victoria, mientras es perseguido por su propia agencia y organizaciones criminales por toda una corrupta América.;https://media.rawg.io/media/games/d46/d46373f39458670305704ef089387520.jpg;Action, Shooter;IO Interactive;Square Enix, Io-Interactive;3.76;79.0;hitman-absolution
Hitman Blood Money;Hitman: Blood Money;RAWG;2006.0;El dinero habla. El silencio paga. Prepárate para hacer una matanza. El Agente 47 debe eliminar objetivos en elaboradas localizaciones mientras gana dinero de sangre para mejorar su equipamiento, ya que una organización de asesinos rivales amenaza su propia existencia.;https://media.rawg.io/media/games/233/233cdc08cce0228f6f35222eca3bff92.jpg;Action, Shooter;Square Enix, IO Interactive;Square Enix, Io-Interactive;4.31;82.0;hitman-blood-money
Hitman Codename 47 - GOG;Hitman: Codename 47;RAWG;2000.0;El juego que inició la franquicia Hitman. El 47 es un talentoso pero ingenuo asesino que descubre su pasado en una serie de contratos que van desde eliminar narcotraficantes en Hong Kong hasta enfrentarse a jefes del crimen en Budapest.;https://media.rawg.io/media/games/3f6/3f6a397ec36acfcc18bb6ab3414c7658.jpg;Action, Shooter;IO Interactive;Square Enix, Eidos Interactive;3.83;73.0;hitman-codename-47
Hitman Contracts;Hitman: Contracts;RAWG;2004.0;Hitman 3: Contracts es un simulador de asesinos desarrollado por IO Interactive. Herido y reviviendo misiones pasadas, el Agente 47 debe completar una serie de contratos mientras su propia historia le alcanza.;https://media.rawg.io/media/games/07b/07b5abbe6330a76d6b30636d3aa5e0f3.jpg;Action, Shooter, Adventure;Square Enix, IO Interactive;Square Enix;3.93;77.0;hitman-3-contracts
Hitman Sniper Challenge;Hitman: Sniper Challenge;RAWG;2012.0;Un minijuego de acción-sigilo y spin-off de Hitman: Absolution. Como el Agente 47, franquea a un objetivo desde una azotea mientras gestionas guardias, testigos y objetivos secundarios en este compacto desafío.;https://media.rawg.io/media/games/949/94983507a9ef5869910bd19cf9059ae9.jpg;Action, Shooter, Arcade;IO Interactive, Nixxes software;Square Enix;3.12;80.0;hitman-sniper-challenge
