Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Desarrolladores;Editores;Metascore;URL_Slug
Far Cry;2004.0;El juego que inició la saga Far Cry. Controla a Jack Carver, varado en una isla tropical invadida por mercenarios y experimentos mutantes, usando el sigilo y la fuerza de fuego para descubrir una aterradora conspiración.;https://media.rawg.io/media/games/2ee/2eef5ed5e82c28d1299ecc2a0e60f2cb.jpg;Action, Shooter;3.9;Ubisoft, Crytek;Ubisoft Entertainment;89.0;far-cry
Far Cry 4;2014.0;Far Cry 4 es un shooter en primera persona ambientado en la ficticia región himalaya de Kyrat, gobernada por el excéntrico y violento dictador Pagan Min. Únete a una rebelión y lucha por la libertad en un impresionante mundo abierto.;https://media.rawg.io/media/games/b39/b396dac1f3e0f538841aa0355dd066d3.jpg;Shooter;3.82;Ubisoft, Ubisoft Montreal;Ubisoft Entertainment;80.0;far-cry-4
Far Cry 5;2018.0;Far Cry 5 es un shooter en primera persona en mundo abierto. Una secta llamada Puerta del Edén ha tomado el control del condado de Hope, en Montana. Lucha junto a combatientes de la resistencia para liberar el condado del fanático Father.;https://media.rawg.io/media/games/bce/bce62fbc7cf74bf6a1a37340993ec148.jpg;Action, Shooter;3.72;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Shanghai, Ubisoft Kiev, Red Storm;Ubisoft Entertainment;80.0;far-cry-5
Far Cry 6;2021.0;Bienvenido a Yara, un paraíso tropical congelado en el tiempo. Mientras el dictador Antón Castillo cría a su hijo para gobernar la isla, se desata una revolución. Tú eres Dani Rojas: lucha por tu patria contra un régimen despiadado.;https://media.rawg.io/media/games/5dd/5dd4d2dd986d2826800bc37fff64aa4f.jpg;Action, Shooter, Adventure;3.36;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Shanghai, Ubisoft Kyiv, Ubisoft Berlin;Ubisoft Entertainment;75.0;far-cry-6
Far Cry;2004.0;El juego que inició la saga Far Cry. Controla a Jack Carver, varado en una isla tropical invadida por mercenarios y experimentos mutantes.;https://media.rawg.io/media/games/2ee/2eef5ed5e82c28d1299ecc2a0e60f2cb.jpg;Action, Shooter;3.9;Ubisoft, Crytek;Ubisoft Entertainment;89.0;far-cry
Farm Together 2;2024.0;¡La exitosa experiencia agrícola regresa! Farm Together 2 mejora el original con nuevos cultivos, animales y opciones de construcción en una relajada simulación agrícola cooperativa.;https://media.rawg.io/media/screenshots/1ec/1ec63c5d5376307155ee6f403ef8c2a3.jpg;Simulation, Casual, Indie;0.0;Milkstone Studios;Milkstone Studios;;farm-together-2
Fear & Hunger 2: Termina;2022.0;Solo tienes 3 días para descubrir los secretos que esconde esta tierra maligna. Fear & Hunger 2: Termina es un brutal RPG de survival horror ambientado en un pueblo festivo donde los concursantes deben sobrevivir... o morir en el intento.;https://media.rawg.io/media/screenshots/3ec/3ecb2152d1545f7cac9380c7b6d25a1c.jpg;RPG, Indie;4.22;Miro Haverinen;Miro Haverinen;;fear-hunger-2-termina
Fear & Hunger 2: Termina;2022.0;Solo tienes 3 días para descubrir los secretos que esconde esta tierra maligna. Fear & Hunger 2: Termina es un brutal RPG de survival horror ambientado en un pueblo festivo donde los concursantes deben sobrevivir... o morir en el intento.;https://media.rawg.io/media/screenshots/3ec/3ecb2152d1545f7cac9380c7b6d25a1c.jpg;RPG, Indie;4.22;Miro Haverinen;Miro Haverinen;;fear-hunger-2-termina
FIFA 15;2014.0;FIFA 15 trae el fútbol a la vida con impresionante detalle. Vive la emoción del deporte con modelos de jugadores auténticos, jugabilidad mejorada y todas las ligas oficiales, clubes y más de 16.000 jugadores.;https://media.rawg.io/media/games/be5/be51faf9bec778b4ea1b06e9b084792c.jpg;Sports;3.37;Electronic Arts Canada;Electronic Arts;82.0;fifa-15
FIFA 19;2018.0;Impulsado por Frostbite, EA SPORTS FIFA 19 ofrece una experiencia de nivel campeón dentro y fuera del campo, incluyendo la UEFA Champions League y mecánicas de juego actualizadas.;https://media.rawg.io/media/games/b59/b59560a7277b16b53e4786b4abe45baa.jpg;Simulation, Sports;3.31;Electronic Arts Vancouver;EA SPORTS;80.0;fifa-19
Fifa 23 (Itch);2022.0;Sin sinopsis disponible.;https://media.rawg.io/media/screenshots/52a/52ad785b9d1514f100ec89c6d5f22e8c.jpg;Casual;0.0;FreakyGe;;;fifa-23
Final Fantasy IX;2000.0;Final Fantasy IX es un videojuego de rol del año 2000 que sigue al ladrón Zidane Tribal, quien secuestra a la Princesa Garnet y queda atrapado en un conflicto que amenaza al mundo. Una carta de amor al estilo clásico de Final Fantasy.;https://media.rawg.io/media/games/826/82626e2d7ee7d96656fb9838c2ef7302.jpg;Adventure, RPG;4.35;Square Enix, Sony Interactive Entertainment, Square, GUILD STUDIO, Guld Studio, Silicon Studio Thailand;Electronic Arts, Square Enix, Square;84.0;final-fantasy-ix
FINAL FANTASY VIII;1999.0;Final Fantasy VIII es un RPG japonés, la octava entrega principal. Sigue al mercenario SeeD Squall Leonhart y a la hechicera Rinoa mientras una misteriosa amenaza del futuro pone al mundo en peligro.;https://media.rawg.io/media/games/f77/f77510051b6a61decc35c5257193fc9e.jpg;RPG;4.28;Square;Square Enix, Microsoft Studios, Eidos Interactive, Square, SCE Australia;90.0;final-fantasy-viii
FINAL FANTASY X/X-2 HD Remaster;2013.0;FINAL FANTASY X sigue a Tidus, una estrella del blitzball que viaja al mundo de Spira, donde se une a la peregrinación liderada por la invocadora Yuna para derrotar al colosal monstruo llamado Sin. Incluye la secuela FFX-2 en remasterización HD.;https://media.rawg.io/media/games/a14/a14acef284eaa4854f83c99e80fc15d8.jpg;RPG;4.34;Square Enix, Virtuos;Square Enix;85.0;final-fantasy-xx-2-hd-remaster
Five Nights at Freddy's: Security Breach;2021.0;El siguiente capítulo del miedo. Security Breach te permite explorar el megacomplejo de entretenimiento Freddy Fazbear's Mega Pizzaplex como Gregory, un joven atrapado que debe sobrevivir una noche entero mientras los animatrónicos Glamrock lo persiguen.;https://media.rawg.io/media/games/f5b/f5b0a8232e747c03aa6b56ce2d2af49a.jpg;Action, Adventure, Indie;2.91;Steel Wool Studios;ScottGames;64.0;five-nights-at-freddys-security-breach
Flat Heroes;2016.0;Flat Heroes es un minimalista e intensísimo juego de acción local para varios jugadores con modos cooperativos y competitivos. Supera precisos retos de plataformas con hasta 4 jugadores en un mundo abstracto y colorido.;https://media.rawg.io/media/screenshots/8f5/8f5a4e32988c86cfc92e592c3b6c43ac.jpg;Action, Indie, Platformer;3.3;Parallel Circles, FlatHeroes;Deck13, Deck 13, Parallel Circles;82.0;flat-heroes
Foundation;2019.0;Foundation es una simulación de construcción de ciudades sin cuadrícula y de crecimiento orgánico. Construye un asentamiento medieval desde cero, gestiona recursos y población mientras desbloqueas nuevos edificios y administras las necesidades de tus ciudadanos.;https://media.rawg.io/media/screenshots/cd1/cd1f9f5a5c38c722be96a3f6dac638e3.jpg;Strategy, Simulation, Indie;3.55;Polymorph Games;Polymorph Games;;foundation
Frostpunk;2018.0;En un mundo completamente congelado, la humanidad ha desarrollado tecnología de vapor para sobrevivir. Como líder de la última ciudad de la Tierra, construye y gestiona una metrópolis impulsada por carbón, equilibrando la supervivencia con decisiones morales cada vez más difíciles.;https://media.rawg.io/media/games/a88/a886c37bf112d009e318b106db9d420a.jpg;Strategy, Simulation;4.19;11 Bit Studios;11 bit studios;85.0;frostpunk
Gas Station Simulator;2021.0;Construye y gestiona tu propia gasolinera desde cero. Repara coches, reabastecer estantes, limpia surtidores y mejora tus instalaciones en este relajante juego de gestión y simulación.;https://media.rawg.io/media/screenshots/050/050288ef5c2ecb1e8272caf0ce077d7e.jpg;Simulation, Indie;3.83;Drago Entertainment;Movie Games, DRAGO entertainment;72.0;gas-station-simulator
Gears of War: Reloaded;2025.0;Vive el origen de una de las franquicias más aclamadas del videojuego como nunca antes. Gears of War: Reloaded es una versión completamente remasterizada del juego original con visuales mejorados y jugabilidad modernizada.;https://media.rawg.io/media/games/213/213248f2ede0b914431446123b291cc0.jpg;Action, Shooter;2.84;The Coalition;Microsoft Studios, Xbox Game Studios;;gears-of-war-reloaded
Gears of War;2006.0;Gears of War, diseñado por Cliff Bleszinski, revolucionó los disparos con cobertura. Controla a Marcus Fenix, un soldado que lucha contra la Horda Locust en una brutal guerra por salvar a la humanidad en el planeta Sera.;https://media.rawg.io/media/games/988/98834d39955e7f15d3717fac438128aa.jpg;Action, Shooter;4.12;Epic Games, People Can Fly;Microsoft Studios;90.0;gears-of-war
Ghost of Tsushima Director's Cut;2021.0;Vive la aventura completa de Ghost of Tsushima incluyendo la expansión de la Isla Iki. Controla al samurái Jin Sakai mientras combate la invasión mongola de Tsushima, forjando un nuevo camino que rompe el código del samurái.;https://media.rawg.io/media/games/193/193c9fe23ca026914fdf41d551ff3df9.jpg;Action, Adventure, RPG;4.58;Sucker Punch Productions;Sony Interactive Entertainment;;ghost-of-tsushima-directors-cut
Ghostrunner 2;2023.0;Ghostrunner 2 es un brutal slasher en primera persona en un mundo cyberpunk postapocalíptico. Golpea, para y corre sobre obstáculos imposibles a una velocidad vertiginosa, mientras nuevas secuencias en moto amplían la acción.;https://media.rawg.io/media/games/d27/d27010266d135dc7407364e1733484bc.jpg;Action;3.73;One More Level;505 Games;;ghostrunner-2
God of War (2018);2018.0;Un nuevo comienzo para Kratos. Viviendo como un hombre fuera de la sombra de los dioses, Kratos debe dominar la furia del guerrero espartano y del padre mientras se aventura con su hijo Atreus en la brutal naturaleza nórdica.;https://media.rawg.io/media/games/4be/4be6a6ad0364751a96229c56bf69be59.jpg;Action;4.54;Santa Monica Studio;Sony Interactive Entertainment, PlayStation PC;94.0;god-of-war-2
God of War Ragnarök;;El Fimbulwinter se acerca. Kratos y Atreus deben viajar por los Nueve Reinos para encontrar respuestas mientras las fuerzas de Asgard se preparan para el profetizado fin del mundo. El épico desenlace de la saga nórdica.;https://media.rawg.io/media/screenshots/3c4/3c4c51b66741363d83b56ce66b1240ec.jpg;Action, Adventure, RPG;4.6;Santa Monica Studio, Jetpack Interactive;PlayStation Publishing;;god-of-war-ragnarok-2
Governor of Poker 2 - Premium Edition;2010.0;La Premium Edition incluye 6 ciudades extra, 10 ubicaciones de póker adicionales y 5 oponentes más notorios. Triunfa en el póker del Salvaje Oeste y gana todos los torneos para convertirte en el definitivo Gobernador del Póker.;https://media.rawg.io/media/screenshots/651/651b9f3e4a0ad643ca7f802f96852e65.jpg;Adventure, Simulation, Casual, Indie;0.0;I Sioux Game Productions;;;governor-of-poker-2-premium-edition
Grand Theft Auto: San Andreas;2004.0;La séptima entrega de la saga GTA. Controla a Carl 'CJ' Johnson, que regresa a Los Santos tras el asesinato de su madre. Toma el control de las calles, expande el territorio de la pandilla y descubre una enorme conspiración.;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action;4.5;Rockstar North, War Drum Studios;Capcom, Rockstar Games, 1C-SoftClub;93.0;grand-theft-auto-san-andreas
Grand Theft Auto: Vice City;2002.0;Grand Theft Auto: Vice City es un shooter en tercera persona con mundo abierto ambientado en el Miami de 1986. Controla a Tommy Vercetti, un sicario de la mafia que construye un imperio criminal en una ciudad de neón, exceso y cocaína.;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action;4.45;Rockstar North;Rockstar Games;94.0;grand-theft-auto-vice-city
Grand Theft Auto IV;2008.0;Cada historia criminal es una historia de búsqueda del éxito. Controla a Niko Bellic, un inmigrante del Este de Europa que llega a Liberty City persiguiendo el Sueño Americano, solo para verse arrastrado de nuevo a una vida de crimen.;https://media.rawg.io/media/games/4a0/4a0a1316102366260e6f38fd2a9cfdce.jpg;Action, Adventure;4.26;Rockstar North;Capcom, Rockstar Games, Take Two Interactive;95.0;grand-theft-auto-iv
Grand Theft Auto V;2013.0;Rockstar Games lo apostó todo en esta entrega. Juega como tres protagonistas —Michael, Trevor y Franklin— en un vasto mundo abierto que recrea Los Ángeles, ejecutando elaborados golpes y viviendo una sátira de la América moderna.;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action;4.47;Rockstar North, Rockstar Games;Rockstar Games;92.0;grand-theft-auto-v
Grand Theft Auto V;2013.0;Rockstar Games lo apostó todo en esta entrega. Juega como tres protagonistas —Michael, Trevor y Franklin— en un vasto mundo abierto de crimen, atracos y satírico comentario social sobre la América contemporánea.;https://media.rawg.io/media/games/20a/20aa03a10cda45239fe22d035c0ebe64.jpg;Action;4.47;Rockstar North, Rockstar Games;Rockstar Games;92.0;grand-theft-auto-v
Zork: Grand Inquisitor;1997.0;La magia ha sido prohibida en el gran Imperio Subterráneo de Zork. Por decreto del Gran Inquisidor, los usuarios de magia son 'totémizados'. Como el último aventurero no cualificado, debes restaurar la magia en Zork.;https://media.rawg.io/media/screenshots/6b6/6b681b12e884ed1c9469a6a99290951d.jpg;Action, Adventure;3.5;Activision;Activision Blizzard;;zork-grand-inquisitor
Grim Dawn;2016.0;Grim Dawn es un action-RPG desarrollado por Crate Entertainment, ambientado en un sombrío mundo ficticio inspirado en la época victoriana y devastado por fuerzas sobrenaturales. Crea poderosos personajes con doble combinación de clases.;https://media.rawg.io/media/games/920/92039cd19460532b76f6244b2bb3e4ac.jpg;Action, RPG, Indie;3.96;Crate Entertainment;Crate Entertainment;83.0;grim-dawn
Guilty Gear -Strive;2021.0;Descubre la esencia del juego con Guilty Gear -Strive-. Un juego de lucha evolucionado con fluidos combates aéreos, estilosas visuales anime, una banda sonora de heavy metal y un profundo modo historia que continúa el universo de GG.;https://media.rawg.io/media/games/dfe/dfe14d30ed6fccd9db4ae79d3be51d54.jpg;Action, Fighting;4.23;Arc System Works, Arc System Works Co.;Arc System Works, Arc System Works Co.;85.0;guilty-gear-2020
Guitar Hero III: Legends of Rock;2007.0;Sin sinopsis disponible.;https://media.rawg.io/media/games/444/444d319b3156101aeef3d1a8df219f3f.jpg;Arcade;4.38;Aspyr Media, Vicarious Visions, Neversoft Entertainment, Budcat Creations;Aspyr, Activision Blizzard;82.0;guitar-hero-3-legends-of-rock
Hades 2 (2001);2001.0;El juego está asociado a un ID incorrecto. Hades II es un roguelike desarrollado por Supergiant Games, secuela del aclamado Hades, donde controlas a Melinoë, hija de Hades, en su lucha contra el Titán del Tiempo.;https://media.rawg.io/media/screenshots/6d6/6d61e8ef67c0f27b29b4f16266dbd9bd.jpg;Shooter;0.0;;;;hades-2-2001
Mastema: Out of Hell;2017.0;Mastema Out of Hell es un plataformas difícil en pixel art puro de 16 bits. Lucha en niveles inspirados en el infierno llenos de retos de precisión y enemigos demoníacos en este juego de acción de estilo retro.;https://media.rawg.io/media/screenshots/973/973092a1cbf074390285e594a6be8361.jpg;Action, Adventure, Casual, Indie;0.0;Oscar Celestini;Forever Entertainment;;mastema-out-of-hell
Halo: Combat Evolved;2001.0;La humanidad está en medio de una larga guerra contra una alianza alienígena llamada el Covenant. Como el Jefe Maestro, escapa de una nave destruida y descubre Halo, un misterioso mundo anular que puede albergar el secreto para terminar la guerra... o destruir todo.;https://media.rawg.io/media/games/abf/abffd94ed6fe34027c720bee593c06d2.jpg;Action, Shooter;4.33;Bungie;Microsoft Studios;90.0;halo-combat-evolved
Halo 2;2004.0;La raza alienígena del Covenant amenaza con destruir a toda la humanidad, y lo único que se interpone en su camino es el Jefe Maestro. Tanto como el Jefe como el Árbitro, desvela la verdad detrás de los Anillos Sagrados.;https://media.rawg.io/media/games/3bf/3bfc3bd9fda76bf83f6cf1d788e1c7c7.jpg;Action, Shooter;4.38;Bungie, Microsoft Game Studios;Microsoft Studios;84.0;halo-2
LEGO Harry Potter: Years 1-4;2010.0;Construye la aventura desde Privet Drive hasta el Torneo de los Tres Magos. Vive las cuatro primeras películas de Harry Potter en formato LEGO, con el característico humor de la franquicia, juego cooperativo y hechizos coleccionables.;https://media.rawg.io/media/games/694/6940fa3fbe0d836e4a272c468e65e480.jpg;Action, Adventure, Family, Platformer;3.82;Feral Interactive, Warner Bros. Interactive, Traveller's Tales;Feral Interactive, Warner Bros. Interactive;79.0;lego-harry-potter
Harry Potter and the Chamber of Secrets;2002.0;Sé Harry Potter en una aventura para PC basada en la segunda película. Lanza hechizos, prepara pociones, vuela en tu escoba y resuelve puzles mientras descubres el secreto de la Cámara de los Secretos.;https://media.rawg.io/media/games/d1a/d1aa957423b0f3dbb66b699653b3ad87.jpg;Action, Adventure, Arcade;4.11;Eurocom, KnowWonder, EA UK, Griptonite, Argonaut;Electronic Arts;74.0;harry-potter-and-the-chamber-of-secrets
Harry Potter and the Prisoner of Azkaban;2004.0;Los Dementores llegan y Harry necesita a sus amigos. Desde la secuencia inicial hasta el climático final con viajes en el tiempo, vive la tercera película como una aventura jugable llena de magia y misterio.;https://media.rawg.io/media/games/a92/a92fed7dd3f4d70b59896169da5b3660.jpg;Action, Arcade, Platformer;4.07;KnowWonder, Electronic Arts UK;Electronic Arts;68.0;harry-potter-and-the-prisoner-of-azkaban
Harry Potter: Quidditch World Cup;2003.0;Lleva a cualquiera de las casas de Hogwarts a la victoria en la Copa de Quidditch de Hogwarts, y luego conduce a tu equipo ganador a la Copa del Mundo de Quidditch para representar a tu país en estadios de todo el mundo.;https://media.rawg.io/media/games/477/47700e321facfd148188a09c2408811f.jpg;Action, Sports, Arcade;3.61;Electronic Arts, EA UK, Magic Pockets, Visual Science;Electronic Arts, EA SPORTS;68.0;harry-potter-quidditch-world-cup
Hearts of Iron 2 Complete;2009.0;Incluye Hearts of Iron II más las dos expansiones Doomsday y Armageddon. Comanda cualquier nación a través de los eventos de la Segunda Guerra Mundial en este complejo juego de gran estrategia que abarca el conflicto global.;https://media.rawg.io/media/screenshots/07d/07dad72dd41319d2ea2752b0b4155626.jpeg;Strategy;3.43;Paradox Development Studio;Paradox Interactive;83.0;hearts-of-iron-2-complete
Hello Neighbor Pre-Alpha;2019.0;Una versión pre-alfa del famoso juego de sigilo y horror Hello Neighbor. Cuélate en la casa de tu espeluznante vecino para descubrir qué esconde en el sótano, mientras él aprende y se adapta a tus tácticas.;https://media.rawg.io/media/screenshots/b93/b9399e47cbe7634ea7d04090d0d300f4.jpg;Adventure, Strategy, Indie;2.9;Dynamic Pixels;tinyBuild;;hello-neighbor-pre-alpha
Hitman 2;2018.0;Hitman 2 (2018) es la séptima entrega de la saga, secuela de Hitman (2016). Viaja por el mundo como el Agente 47, eliminando objetivos en vastos niveles sandbox con total libertad creativa.;https://media.rawg.io/media/games/858/858c016de0cf7bc21a57dcc698a04a0c.jpg;Action, Shooter;4.04;IO Interactive;Warner Bros. Interactive;83.0;hitman-2
Hitman 2: Silent Assassin;2002.0;Hitman 2: Silent Assassin es la segunda parte de la saga Hitman. El retirado asesino 47 es arrastrado de vuelta al mundo de los asesinatos para rescatar a un sacerdote secuestrado que sabe demasiado.;https://media.rawg.io/media/games/683/6833fbb183fd72a61c032501e3bc6d36.jpg;Action, Shooter;3.94;Square Enix, IO Interactive;Square Enix, Eidos Interactive;87.0;hitman-2-silent-assassin
Hitman;2016.0;Hitman (2016) es un juego episódico con diferentes contratos en todo el globo. Controla al Agente 47 en enormes niveles sandbox creativos —desde un desfile de moda en París hasta un barrio marginal en Bombay— eliminando objetivos como más te plazca.;https://media.rawg.io/media/games/16b/16b1b7b36e2042d1128d5a3e852b3b2f.jpg;Action, Shooter, Simulation;3.93;Feral Interactive, Square Enix, IO Interactive;Square Enix, Feral Interactive, Warner Bros. Interactive;83.0;hitman
Hitman: Absolution;2012.0;La secuela directa de Hitman: Blood Money. El Agente 47 se vuelve un renegado para proteger a una misteriosa chica llamada Victoria, mientras es perseguido por su propia agencia y organizaciones criminales por toda una corrupta América.;https://media.rawg.io/media/games/d46/d46373f39458670305704ef089387520.jpg;Action, Shooter;3.76;IO Interactive;Square Enix, Io-Interactive;79.0;hitman-absolution
Hitman: Blood Money;2006.0;El dinero habla. El silencio paga. Prepárate para hacer una matanza. El Agente 47 debe eliminar objetivos en elaboradas localizaciones mientras gana dinero de sangre para mejorar su equipamiento, ya que una organización de asesinos rivales amenaza su propia existencia.;https://media.rawg.io/media/games/233/233cdc08cce0228f6f35222eca3bff92.jpg;Action, Shooter;4.31;Square Enix, IO Interactive;Square Enix, Io-Interactive;82.0;hitman-blood-money
Hitman: Codename 47;2000.0;El juego que inició la franquicia Hitman. El 47 es un talentoso pero ingenuo asesino que descubre su pasado en una serie de contratos que van desde eliminar narcotraficantes en Hong Kong hasta enfrentarse a jefes del crimen en Budapest.;https://media.rawg.io/media/games/3f6/3f6a397ec36acfcc18bb6ab3414c7658.jpg;Action, Shooter;3.83;IO Interactive;Square Enix, Eidos Interactive;73.0;hitman-codename-47
Hitman: Contracts;2004.0;Hitman 3: Contracts es un simulador de asesinos desarrollado por IO Interactive. Herido y reviviendo misiones pasadas, el Agente 47 debe completar una serie de contratos mientras su propia historia le alcanza.;https://media.rawg.io/media/games/07b/07b5abbe6330a76d6b30636d3aa5e0f3.jpg;Action, Shooter, Adventure;3.93;Square Enix, IO Interactive;Square Enix;77.0;hitman-3-contracts
Hitman: Sniper Challenge;2012.0;Un minijuego de acción-sigilo y spin-off de Hitman: Absolution. Como el Agente 47, franquea a un objetivo desde una azotea mientras gestionas guardias, testigos y objetivos secundarios en este compacto desafío.;https://media.rawg.io/media/games/949/94983507a9ef5869910bd19cf9059ae9.jpg;Action, Shooter, Arcade;3.12;IO Interactive, Nixxes software;Square Enix;80.0;hitman-sniper-challenge
Hogwarts Legacy;2023.0;Hogwarts Legacy es un inmersivo action-RPG en mundo abierto ambientado en el mundo mágico de los años 1800. Asiste a Hogwarts, domina hechizos, doma bestias mágicas y descubre un antiguo secreto que amenaza al mundo mágico.;https://media.rawg.io/media/games/044/044b2ee023930ca138deda151f40c18c.jpg;Action, RPG;3.91;Avalanche Software, Portkey Games;Warner Bros. Interactive, Wizarding World;;hogwarts-legacy
Hollow Knight: Silksong;2025.0;Hollow Knight: Silksong es la épica secuela de Hollow Knight. Controla a Hornet, princesa y protectora de Hallownest, en un vasto nuevo reino repleto de peligrosos enemigos, combate acrobático y perturbadores misterios.;https://media.rawg.io/media/games/27c/27cd8b7dead05a870f8a514a9a1915ad.jpg;Action, Adventure, Indie, Platformer;4.38;Team Cherry;Team Cherry;;hollow-knight-silksong
Hollow Knight;2017.0;Hollow Knight es un Metroidvania desarrollado por Team Cherry. Explora el vasto reino subterráneo de Hallownest, una tierra en ruinas de antiguas civilizaciones y criaturas peligrosas, como un pequeño pero formidable caballero.;https://media.rawg.io/media/games/4cf/4cfc6b7f1850590a4634b08bfab308ab.jpg;Action, Indie, Platformer;4.4;Team Cherry;Team Cherry;88.0;hollow-knight
Horizon Forbidden West;2022.0;Explora tierras lejanas, lucha contra imponentes máquinas y encuentra misteriosas nuevas tribus. Aloy se aventura en el Oeste Prohibido, una peligrosa frontera que esconde los secretos de una mortal plaga que mata la tierra.;https://media.rawg.io/media/games/bf7/bf73b105ccbba42107986bbcd96fcada.jpg;Action, Adventure, RPG;4.2;Guerrilla Games;Sony Computer Entertainment, Sony Interactive Entertainment;86.0;horizon-zero-dawn-2
Horizon Zero Dawn;2017.0;Horizon Zero Dawn es un action-RPG en el que una joven cazadora llamada Aloy explora un mundo post-postapocalíptico dominado por bestias mecánicas, reconstruyendo el misterio de sus orígenes y el pasado olvidado de la humanidad.;https://media.rawg.io/media/games/b7d/b7d3f1715fa8381a4e780173a197a615.jpg;Action, RPG;4.27;Guerrilla Games;Sony Computer Entertainment;89.0;horizon-zero-dawn
Mass Effect: Legendary Edition;2021.0;Una sola persona es todo lo que se interpone entre la humanidad y la mayor amenaza que jamás ha enfrentado. La Legendary Edition recopila la historia completa del Comandante Shepard en los tres juegos remasterizados.;https://media.rawg.io/media/games/64e/64e2a77f37ddc48d102127234af99886.jpg;Action, Shooter, Adventure, RPG;4.57;BioWare, EA Swiss;Electronic Arts;88.0;mass-effect-legendary-edition
Inscryption;2021.0;Del creador de Pony Island y The Hex, Inscryption es un juego de cartas envuelto en capas de horror oscuro, puzles de escape y mecánicas roguelike que constantemente desafían tu percepción de la realidad.;https://media.rawg.io/media/games/73e/73efc5c0ac6f354271dae610276f617c.jpg;Adventure, Strategy, Indie;4.38;Daniel Mullins Games;Devolver Digital;86.0;inscryption
inZOI;2025.0;inZOI es un simulador de vida donde los jugadores se convierten en creadores, dando forma a una detallada ciudad virtual y guiando la vida de sus personajes con una fidelidad visual sin precedentes y comportamiento impulsado por IA.;https://media.rawg.io/media/games/727/727ebb5c7711b6b6cbc1d4620ba58373.jpg;Adventure, Simulation, Casual;2.7;inZOI Studio;KRAFTON;;inzoi
It Takes Two;2021.0;Acompañados de tu compañero cooperativo favorito, ponte en la piel de May y Cody, una pareja al borde del divorcio que queda mágicamente convertida en muñecos. Para volver a la normalidad, deben trabajar juntos en una espectacular aventura cooperativa.;https://media.rawg.io/media/games/d47/d479582ed0a46496ad34f65c7099d7e5.jpg;Action, Adventure, Platformer;4.47;Hazelight;Electronic Arts;88.0;it-takes-two-2
JoJo's Bizarre Adventure: All-Star Battle R;2022.0;¡Todos los JOJOs Unidos! Conocido por sus carismáticos héroes, este juego reúne a los personajes más icónicos de JoJo's Bizarre Adventure de todas las partes para una explosiva acción de lucha.;https://media.rawg.io/media/games/6f3/6f34131554c961f0ff37ed476e939252.jpg;Action, Fighting;3.65;CyberConnect2 Co.;Bandai Namco Entertainment, BANDAI NAMCO Entertainment US;;jojos-bizarre-adventure-all-star-battle-r
Jurassic World Evolution 2;2021.0;Basándose en la revolucionaria simulación de gestión de 2018, Jurassic World Evolution 2 profundiza la experiencia con más dinosaurios, nuevos biomas, mecánicas de gestión de parques ampliadas y una campaña narrativa.;https://media.rawg.io/media/games/647/64797fe9358aa3c7ddc4ff36f89e4382.jpg;Strategy, Simulation;3.46;Frontier Developments;Frontier Developments;;jurassic-world-evolution-2-2
Just Cause 2;2010.0;Just Cause 2 sigue a Rico Rodríguez hasta la ficticia nación isleña de Panau, donde debe derrocar a un dictador y desenredar la red de tres facciones criminales rivales, causando el mayor caos glorioso posible.;https://media.rawg.io/media/games/a3c/a3c529a12c896c0ef02db5b4741de2ba.jpg;Action, Shooter;3.62;Square Enix, Avalanche Studios;Square Enix;84.0;just-cause-2
Killing Floor;2009.0;En Killing Floor, forma parte de un equipo de fuerzas especiales luchando contra oleadas de máquinas de matar clonadas creadas por la corporación Horzine Biotech en localizaciones por todo un Reino Unido infestado de zombis.;https://media.rawg.io/media/games/806/8060a7663364ac23e15480728938d6f3.jpg;Action;3.45;Tripwire Interactive;Tripwire Interactive;72.0;killing-floor
Kingdoms of Amalur: Reckoning;2012.0;Kingdoms of Amalur: Reckoning tiene lugar en las Tierras de las Hadas, un rico mundo de fantasía. Eres la primera persona en ser resucitada de la muerte, inmune al destino: un poder que podría cambiar el destino de todo el mundo.;https://media.rawg.io/media/games/bad/bad95aa1f2edbbad2ae93981291b6560.jpg;Action, Adventure, RPG;3.61;Electronic Arts, Big Huge Games, 38 Studios;Electronic Arts, 38 Studios;81.0;kingdoms-of-amalur-reckoning
Kingdoms of Amalur: Re-Reckoning;2020.0;El exitoso RPG regresa, completamente remasterizado. De las mentes del autor R.A. Salvatore, el creador de Spawn Todd McFarlane y el diseñador de Elder Scrolls Ken Rolston, Re-Reckoning trae el juego original en formato mejorado.;https://media.rawg.io/media/games/31c/31c3bc7e7296ac5ec6cca8407cd992e4.jpg;Action, Adventure, RPG;3.41;Kaiko, Big Huge Games;THQ Nordic;72.0;kingdoms-of-amalur-re-reckoning
