Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Backdrop_URL;Generos;Puntuacion_TMDB;Temporadas;Episodios;URL_TMDB
La Jefa;La Jefa;TMDB;2025 - 2025;La vida perfecta de Gloria se destruye cuando sicarios matan a su prometido en su boda. Abandonada por su familia, perseguida y sin bienes, debe entrar al lavado de dinero para proteger a su hijo.;https://image.tmdb.org/t/p/original/5PpqPl6OPonNNet7dxCOxXCxkst.jpg;https://image.tmdb.org/t/p/original/7atgiE3S0rzYhCItMn7TLUuJNud.jpg;Crimen, Drama, Telenovela;8.4;1;100;https://www.themoviedb.org/tv/284219
La Mujer del Diablo;La mujer del diablo;TMDB;2022 - 2023;Se contará la historia de una maestra de primaria que desea salir de su pueblo, así como la de un hombre quien aparenta ser benefactor.;https://image.tmdb.org/t/p/original/lhGcQeib5dltKUVlI7c7oniZUZ7.jpg;https://image.tmdb.org/t/p/original/c5b4Xfa9jwW6hXXpyo28RArEAwy.jpg;Drama;7.546;3;26;https://www.themoviedb.org/tv/205442
La Pola;La Pola;TMDB;2010 - 2011;En medio de la lucha por la independencia de Colombia, Policarpa Salavarrieta desafía el poder español y los prejuicios de su tiempo. Su amor prohibido con Alejo, un joven español, se entrelaza con la revolución, enfrentando dilemas entre el corazón y la patria.;https://image.tmdb.org/t/p/original/i0S1GXNzsUJO3QXIydI0k9KIkcG.jpg;https://image.tmdb.org/t/p/original/7SiHXKtD9JHl6hAeZ1veFtVmjk4.jpg;Misterio, Drama;8.0;1;98;https://www.themoviedb.org/tv/107148
La Señora Fazilet y Sus Hijas;La señora Fazilet y sus hijas;TMDB;2017 - 2018;Fazilet Hanim, quien siempre ha querido volverse millonaria, vive en un barrio humilde con sus hijas. Tras la muerte de su esposo, decide calmar su ira con el mundo usando a sus hijas para salir de la miseria en la que pasan sus días. Su hija más joven, llamada Ece, es el apoyo más grande de Fazilet para alcanzar la fama y el dinero. Sin embargo, Hazan , la mayor de las hermanas, no tiene intenciones de ayudarla, puesto que sufre una pena enorme y nunca podrá perdonarla por la muerte de su padre. Para empezar su plan de convertirse en una mujer rica y famosa, Fazilet arrastrará a Ece con los Egemen, una respetada familia que reside en una lujosa mansión junto al Bósforo.;https://image.tmdb.org/t/p/original/7t7APvEsk460JQiAs05OFpH5TG1.jpg;https://image.tmdb.org/t/p/original/A4V6jJNHNNvMdICvs3CaH70zIvh.jpg;Drama, Familia;8.0;2;50;https://www.themoviedb.org/tv/76560
La Tempestad;La Tempestad;TMDB;2013 - 2013;Marina Reverte trabaja como gerente de un hotel, pero decide abandonar su trabajo cuando denuncia a un empresario por intentar propasarse con una de sus empleadas. Sumándose a sus problemas, ella recibe la terrible noticia de que su madre tiene una grave enfermedad y que deben mudarse a otra ciudad por su salud.;https://image.tmdb.org/t/p/original/dfwkeqhRV9IaB5HFEY0lwISolxs.jpg;https://image.tmdb.org/t/p/original/vZM0zW2dIJnIMxBZgviouMJiMkY.jpg;Drama;7.3;1;122;https://www.themoviedb.org/tv/44493
La Traicion;La traición;TMDB;1984 - 1985;;https://image.tmdb.org/t/p/original/8YZ9W8HQIFMh1mjpQvDD3Pntsvz.jpg;https://image.tmdb.org/t/p/original/nr2byxMAIvRggDoU0ENl684gxcr.jpg;Drama, Acción;7.5;1;120;https://www.themoviedb.org/tv/313801
La Venganza de Analia;La venganza de Analía;TMDB;2020 - 2025;Después de averiguar detalles desconocidos de su pasado, Analía Guerrero decide tomar, de mano propia, venganza contra el asesino de su madre: Guillermo León Mejía, un destacado político corrupto, candidato a la Presidencia de la República.;https://image.tmdb.org/t/p/original/f3gh3r1WimARRKnmn7fgV0Hu2LX.jpg;https://image.tmdb.org/t/p/original/tM0VOaUyTSgCzBq1aaYyB1OeYbu.jpg;Drama;7.5;2;126;https://www.themoviedb.org/tv/102712
La Viuda Negra;La Viuda Negra;TMDB;2014 - 2016;"Es una adaptación del libro «La patrona de Pablo Escobar» de José Guarnizo basada en la historia de la narcotraficante colombiana Griselda Blanco, más conocida como ""la reina de la coca"".";https://image.tmdb.org/t/p/original/xkdGdQDXzL6uKDgSJRz3oJqOcrC.jpg;https://image.tmdb.org/t/p/original/yec9CEAVgwVLiXHfqMKeMN3pff5.jpg;Acción, Drama, Crimen;7.377;2;139;https://www.themoviedb.org/tv/60637
Lado a Lado;Lado a Lado;TMDB;2012 - 2013;;https://image.tmdb.org/t/p/original/essMpxNLj8WvTxzUkN58ZShCsV6.jpg;https://image.tmdb.org/t/p/original/fXC10vd7wzBxFAMEItv7xOuEJvm.jpg;Telenovela, Drama;9.1;1;154;https://www.themoviedb.org/tv/46156
Las Hijas de la Señora Garcia;Las Hijas de la Señora García;TMDB;2024 - 2025;La madre decidida, la Sra. García, se esfuerza por darles a sus hijas Valeria y Mar un futuro mejor, protegiéndolas de la pobreza. Luchará para ver sus sueños reflejados en ellas y proporcionarles el más alto nivel de vida.;https://image.tmdb.org/t/p/original/c75tX49ZsDfyiYih6A0sc5M4zzP.jpg;https://image.tmdb.org/t/p/original/bX3MGRFsd5Tc5CB75ooGuo9qiob.jpg;Familia, Drama, Telenovela;7.4;1;82;https://www.themoviedb.org/tv/276277
Los Miserables;Los miserables;TMDB;1974 - 1974;;https://image.tmdb.org/t/p/original/oQHXDosQwb1milhJmxIfLX9tE3w.jpg;https://image.tmdb.org/t/p/original/jq6YW1N440mjj9anWtHxmoMCpYm.jpg;Drama, Crimen;8.5;1;77;https://www.themoviedb.org/tv/315922
Love is in the Air (LLaman a mi puerta);Love is in the Air;TMDB;2020 - 2021;Eda planea terminar sus estudios como arquitecta en el extranjero cuando Serkan Bolat, un joven empresario -y uno de los solteros más cotizados de Estambul-, se interpone en su camino cuando él decide cortar su financiación para los estudios a nivel internacional. Bolat le propone entonces un trato: si ella acepta pasar dos meses con él como si fuese su prometida, volverá a pagar sus estudios. Aunque Eda está convencida de odiarlo profundamente, a medida que pasan los días su relación comienza a cambiar.;https://image.tmdb.org/t/p/original/hkchSrpTMCEjdFBX5HU3IpyYXO4.jpg;https://image.tmdb.org/t/p/original/9qq8LpOoBLYq8MxiMugn0gf9qJd.jpg;Drama, Comedia;8.222;2;52;https://www.themoviedb.org/tv/104877
Luna LLena;Dolunay Luna llena;TMDB;2017 - 2017;Ferit Aslan (Can Yaman) es un empresario muy exitoso, y está obsesionado con el orden. Quiere la misma forma de organización tanto en su vida privada como profesional. Nazli (Ozge Gurel), que estudia gastronomía, necesita encontrar un trabajo de inmediato ya que es responsable de cubrir los gastos del hogar que comparte con su amiga y hermana. Ella es obstinada y firme, por lo que tiene dificultades para mantener un trabajo. Ambos completamente opuestos, se encuentran y dan inicio a una divertida historia de amor.;https://image.tmdb.org/t/p/original/3JK0Xk1HltwqXdNfhqsxQtKlMYQ.jpg;https://image.tmdb.org/t/p/original/sn19T6Dl4409fIT9PjCUkp6zcaZ.jpg;Comedia, Drama;8.204;1;26;https://www.themoviedb.org/tv/73506
Más hermosa que tú;Más hermosa que tú;TMDB;2022 - 2022;"Efsun es una joven médica dermatóloga que vive con su padre en Gaziantep, en el interior de Turquía, llevando una vida rural y tranquila. Ella y su padre fueron abandonados por su madre cuando era pequeña; su madre su fue a Estambul y no hubo más noticias.  Un día Efsun se entera que su madre está en Estambul en su lecho de muerte y pide verla. Para que vaya a Estambul la madre envía un coche con chofer, que es Emir.  Al llegar al lado de su madre descubre que ella es dueña de una clínica de estética muy importante y que quiere que Efsun trabaje en esa clínica. También descubre que su madre ha formado pareja con Kaya que a su vez tiene un hijo que es Emir, el supuesto chofer.  En realidad Emir es un brillante cirujano plástico, que quiere dirigir la clínica y ve a Efsun como una enemiga que llega para usurparle su lugar. Además tendrán que ser vecinos en las viviendas de la clínica.";https://image.tmdb.org/t/p/original/xtLkwR0NkYlJatqRydfCvf9l2RB.jpg;https://image.tmdb.org/t/p/original/ra2t2Q9n9V90e4t0ND3JBnU0mPy.jpg;Comedia, Drama;8.053;1;14;https://www.themoviedb.org/tv/203572
Medcezir;Medcezir;TMDB;2013 - 2015;Yaman es un joven que vive en Tozludere, un barrio pobre de Estambul con su madre, hermano y padrastro. Destaca por ser un joven luchador, trabajador y honesto. Sin embargo, un día es arrestado y encarcelado porque su hermano Kenan roba un automóvil en una gasolinera. A raíz de este suceso, conoce a Selim Serez, un exitoso abogado. Selim ve en el joven mucho potencial que no puede ser desperdiciado, y por esta razón, le ofrece vivir junto a él y su familia.;https://image.tmdb.org/t/p/original/t3uTGtLVDbpo2SaQVKhvjcj5HWU.jpg;https://image.tmdb.org/t/p/original/4zuLi90yC0S1c7uwHO0dyU7kIYX.jpg;Comedia, Drama, Familia;7.1;2;77;https://www.themoviedb.org/tv/61867
Mi Adorable Maldición;Mi adorable maldición;TMDB;2017 - 2017;"En el pueblo de El Salado es una ventana al pasado; en él las tradiciones, las creencias y las costumbres de antaño se mantienen vivas. Y aunque esto le da un color extraordinario, no todo es perfecto, pues sus pobladores aún creen en lo sobrenatural, en brujerías y maldiciones, así que cuando Carmen la mamá de la pequeña Aurora muere al dar a luz, de inmediato Macrina, la partera, esparce la noticia de que la niña es la culpable porque nació con un lunar con apariencia de una calavera y eso es clara muestra de que acarrea la desgracia. Así, la bebé queda marcada para toda su vida como portadora de una ‘maldición’. Ante la presencia de la inocente criatura, los vecinos reaccionan como si el mismísimo diablo se les plantara enfrente, provocando que Severo, un despreciable porquero que va dejando apeste a su alrededor, lance una amenzante advertencia a Aurora, jurando que ella jamás va a tener una familia, pues su destino está escrito y debe cumplirse.";https://image.tmdb.org/t/p/original/rKxKJCyaY1pgSDXNN8HcEovPdqR.jpg;https://image.tmdb.org/t/p/original/jiarEDLmjMpZP5qht47ZXYAATh7.jpg;Drama, Telenovela;7.4;1;122;https://www.themoviedb.org/tv/72406
Mi Hogar, Mi Destino;Mi hogar, mi destino;TMDB;2019 - 2021;Zeynep, una joven que trata de sacar adelante a su familia, verá cómo su vida cambia radicalmente con la aparición de Mehdi, un hombre complicado del que se enamora perdidamente.;https://image.tmdb.org/t/p/original/hjgsSAwMIuDxe9DLom13bZTKqG5.jpg;https://image.tmdb.org/t/p/original/wTh8q0Uj5pMHNcW5KFJ8WZ7snt1.jpg;Drama;7.4;2;43;https://www.themoviedb.org/tv/96775
Mi nombre es Farah;Mi nombre es Farah;TMDB;2023 - 2023;Farah es una joven que ha tenido que huir de su país natal y lucha ilegalmente por sobrevivir junto a su hijo enfermo en Estambul. En una noche aparentemente ordinaria, su vida da un giro inesperado cuando presencia involuntariamente un asesinato. Este suceso la llevará a un cruce de caminos con Tahir Lekesiz, un hombre al que conoce esa misma noche. Este encuentro cambiará sus vidas para siempre y los arrastrará a un mundo de misterio, intriga y peligro.;https://image.tmdb.org/t/p/original/lw9DBdrF58jsv2mkCqcQTJynsTU.jpg;https://image.tmdb.org/t/p/original/ebtobUiMRbq0T3R1mBVI69Ux937.jpg;Crimen, Drama;8.813;2;27;https://www.themoviedb.org/tv/219826
Mujeres Apasionadas;Mulheres Apaixonadas;TMDB;2003 - 2003;;https://image.tmdb.org/t/p/original/f7xttU79eOEm8YOu4DCONvbPtNX.jpg;https://image.tmdb.org/t/p/original/jDwJ1Tkys0EdeJUesw2XKyUrlTv.jpg;Telenovela, Familia, Drama;6.3;1;203;https://www.themoviedb.org/tv/20875
No Sueltes Mi Mano;No sueltes mi mano;TMDB;2018 - 2019;Sinopsis: Esta historia gira entorno Cenk (Alp Navruz) quien es hijo de una de las familias más famosas y ricas de todo Estambul y poseen una de las empresas gastronómicas más grande de todo Turquía.El vive en los Estados Unidos pero un día decide regresar a Estambul con el fin de vender su empresa y elegir su propio destino pero lo que el no sabe es que en el camino se cruzara con Azra (Alina Boz) una joven y guapa estudiante de cocina que se radica en los Estados Unidos y por un pedido de su padre decide regresar a Estambul. ¿Podrán Cenk y Azra aceptar lo que el destino les tiene preparado?;https://image.tmdb.org/t/p/original/budGPvu6oms8qvMWSxjqL4HAis3.jpg;https://image.tmdb.org/t/p/original/bjibXGFuZiBPUNuX64ZsEiuVmgu.jpg;Familia, Drama;8.385;2;59;https://www.themoviedb.org/tv/80229
Pajaro Soñador;Pajaro Soñador;TMDB;2018 - 2019;Esta historia gira entorno a Sanem una joven y hermosa muchacha llena de vida quien tiene un padre que trabaja en una tienda de comestibles y una hermana mayor Leyla quien es todo lo contrario a su pequeña hermana. Sanem con tal de ayudar a su padre envía una solicitud de trabajo a la revista más famosa de Turquía “La Condesa” el dueño de esta revista es el señor Aziz quien tiene dos hijos Can y Emre, Can es un joven y atractivo muchacho lleno de energía y con un espíritu aventurero, amante de la naturaleza todo lo contrario a Emre el cual todas las chicas mueren por él. La vida de estos dos hermanos cambiará el día que Sanem entre a la empresa.;https://image.tmdb.org/t/p/original/8Xums4sswAnXJQnUSbwcY20iZcC.jpg;https://image.tmdb.org/t/p/original/uJ3HalVLkaOeH1lvDdrEmeqFxds.jpg;Drama, Comedia, Telenovela;8.0;1;51;https://www.themoviedb.org/tv/80411
Perdona Nuestros Pecados;Perdona nuestros pecados;TMDB;2017 - 2018;La llegada de Reynaldo Suárez (Mario Horton), el nuevo párroco de Villa Ruiseñor, generará más de un dolor de cabeza a Armando Quiroga (Álvaro Rudolphy), el hombre más rico y poderoso de la región del Maule, mientras en silencio las mujeres del pueblo comienzan a murmurar sobre los encantos y magnetismo del cura. Reynaldo llega a buscar venganza contra Quiroga por el supuesto suicidio de su hermana menor casi 20 años atrás, apoyado por su madre, la abortera del pueblo, Lidia (Carmen Disa Gutiérrez).  Por otro lado, está María Elsa (Mariana Di Girólamo) la hija y debilidad de Armando. Una niña ejemplar para los ojos del pueblo, pero que, al comenzar un romance con Camilo Corcuera (Etienne Bobenrieth), un joven de clase baja e hijo de Silvia Corcuera (Francisca Gavilán) una empleada doméstica, desafía una de las reglas más importantes del lugar: la separación entre las clases sociales de la época.;https://image.tmdb.org/t/p/original/urhzrTrZhVqu5fk1PCuYFVZ0px.jpg;https://image.tmdb.org/t/p/original/AqL1l2OWupNcTiIpix6MPVsRk4d.jpg;Telenovela, Drama;2.8;2;312;https://www.themoviedb.org/tv/97403
Propuesta Indecente;Propuesta indecente;TMDB;2023 - 2023;Zein es un hombre atractivo y millonario, dueño de una empresa pero que no ha tenido buena suerte en el amor, sin embargo, Sara, una de las trabajadoras de su empresa, se ha ganado su corazón sin siquiera tratarlo. La vida de esta hermosa mujer la ha llenado de pesar. Sara quedó viuda y es madre de un niño al que le detectaron leucemia.;https://image.tmdb.org/t/p/original/vfsCrC6cqbTEliqZJXTbraJSBw5.jpg;https://image.tmdb.org/t/p/original/dRV1lMIxQBlIgngufjrQeRX1JJm.jpg;Drama;6.571;1;89;https://www.themoviedb.org/tv/211782
Quien es Quien;¿Quién es la máscara? México;TMDB;2019 - 2025;;https://image.tmdb.org/t/p/original/Am4GYpXqFoWRqzlMJJoY3SQaKf8.jpg;https://image.tmdb.org/t/p/original/kkaRcLLvwConukXnWNunCHds8pe.jpg;Familia, Reality, Talk Show;5.5;7;68;https://www.themoviedb.org/tv/93597
Rastros de Mentiras;Rastros de Mentiras;TMDB;2013 - 2014;Rastros de Mentiras es una historia de amor y ambición centrada en Paloma (Paolla Oliveira), quien vive una relación conflictiva con su familia. Adoptada en secreto, conocerá la verdad de su maquiavélico hermano Félix (Mateus Solano), que desea eliminarla a cualquier precio y heredar la fortuna de sus padres, médicos dueños de un hospital. La revelación ocurre durante un viaje a las deslumbrantes ciudades históricas de Perú, donde Paloma se enamora del aventurero Nido (Juliano Cazarré).;https://image.tmdb.org/t/p/original/7F0JxZDMd4ISF8By5SDUfuUqBiv.jpg;https://image.tmdb.org/t/p/original/9vqqstyyhaO6b7Zc3VJgjzpWMJi.jpg;Telenovela, Drama, Familia;5.9;1;221;https://www.themoviedb.org/tv/59599
Romina Poderosa;Romina Poderosa;TMDB;2023 - 2023;El mundo conocerá a una nueva heroína en esta historia llena de adrenalina y velocidad. Juanita Molina (La Reina del flow 2) es Romina, apasionada del downhill y defensora de los más débiles;https://image.tmdb.org/t/p/original/7x1fR7YoXWphEbaQFeZZ34g2BGd.jpg;https://image.tmdb.org/t/p/original/9kxWbS88J0BFApxwaFoCv76w5ll.jpg;Drama, Telenovela;7.7;1;65;https://www.themoviedb.org/tv/228051
Rubi (2004);Rubí;TMDB;2004 - 2004;Rubí es una bella joven universitaria que vive junto con su madre Doña Refugio y su hermana Cristina en una pobre vecindad. ... Maribel es hija del millonario hombre de negocios llamado Arturo De La Fuente. Ella le entrega su amistad a Rubí, sin saber que esta está envenenada por la envidia y los celos;https://image.tmdb.org/t/p/original/uUYw0HKpaxZWbKkzCIPgEwXPDr3.jpg;https://image.tmdb.org/t/p/original/55gsc08ajOpUIKNAsNPa3V4qWkE.jpg;Telenovela, Drama, Misterio;7.689;1;115;https://www.themoviedb.org/tv/12961
Safir;Safir;TMDB;2023 - 2024;;https://image.tmdb.org/t/p/original/ngAgkMrVQyBhiuhIK3zg1tmravS.jpg;https://image.tmdb.org/t/p/original/7v2g0gG5Pda1Wloq8ebMwkki0IE.jpg;Familia, Drama;5.3;1;26;https://www.themoviedb.org/tv/231092
Sed de venganza;Sed de Venganza;TMDB;2024 - 2025;Fernanda, decidida a superar su pasado, ve interrumpidos sus planes cuando un hombre entra en su vida, desencadenando acontecimientos que ponen a prueba su resiliencia. Para empeorar, se enamora de Francisco, impulsada por la venganza.;https://image.tmdb.org/t/p/original/7ucKT5fdCNATNHnAPkP0mjV2Shw.jpg;https://image.tmdb.org/t/p/original/sD6Cvc4VRGVGZHqeqglWrfo9vOP.jpg;Drama, Telenovela;7.6;1;83;https://www.themoviedb.org/tv/274634
Señora del Destino;Señora del Destino;TMDB;2004 - 2005;"Una historia sobre personas que vencen en la vida por su propio esfuerzo. Una trama cuyo hilo conductor es Maria do Carmo, madre de cinco hijos, que venció en la vida con mucha lucha, pero que tendrá como gran batalla la reconquista de su hija, raptada aún recién nacida. Relaciones y conflictos familiares y el rescate de valores que la sociedad ya ha olvidado, son los temas abordados en 'Señora del Destino'. La obra se divide en dos partes: la primera transcurre en 1968 y se extiende por cuatro capítulos y medio; la segunda empezará tras un salto en el tiempo.";https://image.tmdb.org/t/p/original/x74oguhQltDFw8rUZX5C0Li9N56.jpg;https://image.tmdb.org/t/p/original/p5D492rqjQmrcc8rQPLkcJ9FPpa.jpg;Telenovela, Drama;7.9;1;221;https://www.themoviedb.org/tv/46101
Sol Yanim;Mi lado izquierdo;TMDB;2020 - 2021;La serie dramática sigue la historia de una madre y su pequeña hija, Serra, mientras intentan acostumbrarse a su nueva vida en un vecindario común después de caer en desgracia.;https://image.tmdb.org/t/p/original/u9jA4fJ83pwqSkNsYajTSliukZK.jpg;https://image.tmdb.org/t/p/original/i3UxDwbnAzTmayjkOLppEKewAxg.jpg;Drama;9.1;1;12;https://www.themoviedb.org/tv/113720
Sueños de Libertad;Sueños de libertad;TMDB;2024 - 2026;Begoña Montes es una mujer que vive atrapada en un matrimonio tóxico y busca la ansiada libertad en la España de 1958.;https://image.tmdb.org/t/p/original/k0uSCsavcoGviQK9rfyH2srRjhZ.jpg;https://image.tmdb.org/t/p/original/qwoFxyMtArLpZZzG3mmRDEjGgCM.jpg;Drama, Telenovela;6.1;3;582;https://www.themoviedb.org/tv/239526
Te Alquilo Mi Amor;Te Alquilo Mi Amor;TMDB;2015 - 2017;Defne, una chica pobre que vive con su abuela, hermano y hermana está enredado en un acuerdo para hacer el famoso hombre de negocios, caída Omer enamorado de ella y casarse con ella antes de que sea demasiado tarde. Defne se ve obligado a hacerlo debido a los obstáculos de la vida y con sus diferencias, tendrá que ser capaz de hacer caer Omer enamorado de ella?;https://image.tmdb.org/t/p/original/qrjBau8YQ1xsS7Rire5eJGUNy2g.jpg;https://image.tmdb.org/t/p/original/7l7K63FeW6iUTJZPa6ips71OWDn.jpg;Comedia;7.4;2;69;https://www.themoviedb.org/tv/63549
Te Voy a Enseñar a Querer;Te voy a enseñar a querer;TMDB;2004 - 2007;;https://image.tmdb.org/t/p/original/xdPsYnVa9vb4qsCuNARqaX3KOUt.jpg;;Telenovela, Drama;6.6;1;129;https://www.themoviedb.org/tv/107072
Tierra de Esperanza;Tierra de Esperanza;TMDB;2023 - 2023;Cuando su padre es detenido por estafa, María Teresa ( Carolina Miranda ), una empresaria, debe intervenir y hacerse cargo del rancho que le dejó su madre, donde conoce a Santos ( Andrés Palacios ), el capataz del rancho con quien constantemente discrepar.;https://image.tmdb.org/t/p/original/bUfbmaeHoWeqXC6rL8bSFwPfoNJ.jpg;https://image.tmdb.org/t/p/original/mxzjNi5bshxV77huxdPZyyvvEBi.jpg;Telenovela, Drama;7.76;1;65;https://www.themoviedb.org/tv/228459
Tierra De Reyes;Tierra de Reyes;TMDB;2014 - 2015;Cuando los hermanos Gallardo, Arturo, Flavio  y Samuel, se enteran de que su hermana menor Alma  mantiene una relación con Ignacio del Junco , un hombre mucho mayor que ella, intentan separarlos a toda costa, sin embargo todo acaba abruptamente cuando Ignacio muere en extrañas circunstancias. Alma, desesperada ya que espera un hijo suyo, se dirige hacia el velorio del hombre que ama y es ahí cuando se entera de que éste no estaba separado, como le había hecho creer, sino que sigue casado con Cayetana Belmonte , una mujer altanera, poderosa y avasallante, quien la humilla en frente de sus hijas, Sofía , la hermosa veterinaria del rancho de su familia, Irina , una alocada y divertida joven, y Andrea, seria y distinguida como su madre, de su inescrupuloso yerno Leonardo Montalvo, su anciano padre don Felipe y el personal de servicio.;https://image.tmdb.org/t/p/original/cwBNC3e86zvWrznlqrImsv1MJdB.jpg;https://image.tmdb.org/t/p/original/l9fMvldLIW8Kjuo9uuJ5eDybXJG.jpg;Drama;7.846;1;160;https://www.themoviedb.org/tv/70176
Traicion;La traición;TMDB;1984 - 1985;;https://image.tmdb.org/t/p/original/8YZ9W8HQIFMh1mjpQvDD3Pntsvz.jpg;https://image.tmdb.org/t/p/original/nr2byxMAIvRggDoU0ENl684gxcr.jpg;Drama, Acción;7.5;1;120;https://www.themoviedb.org/tv/313801
TRAVESIA;La travesia del Mayflower;TMDB;2016 - 2016;Los primeros peregrinos a Estados Unidos a bordo del Mayflower, es lo que constituyó después el famoso día de Acción de Gracias. Pero lo que celebran allí cada año poco tiene que ver con las personas y los dramáticos hechos de aquella época de desesperación.  En 1620, un pequeño grupo de hombres, mujeres y niños atormentados por la persecución religiosa en Inglaterra embarcaron en un espantoso viaje hacia una tierra hostil con la esperanza de una vida mejor y libertad de culto. La mitad de los colonos que sobrevivieron al terrible trayecto en el Mayflower murieron de inanición y frío durante el primer invierno. Fue sólo la compasión y la ayuda de los habitantes nativos lo que les permitió salir adelante y establecer los cimientos de una nueva nación. Sin embargo, irónicamente, esto supuso el principio del fin de los indios nativos.;;;Acción, Documental;0.0;1;2;https://www.themoviedb.org/tv/76283
Tu Vida es Mi Vida;Tu vida es mi vida;TMDB;2024 - 2024;Paula abandona su trabajo como empresaria para pasar el mayor tiempo posible con sus tres hijos luego de enterarse de que padece una grave enfermedad y su vida corre peligro.;https://image.tmdb.org/t/p/original/k58tPG0q3h2umXDQWQ5m4kw03eR.jpg;https://image.tmdb.org/t/p/original/7Ct0Dkea1UQczjO628ONNiRGMqp.jpg;Familia, Telenovela, Drama;8.5;1;95;https://www.themoviedb.org/tv/243745
Tuzak;Tuzak;TMDB;2022 - 2023;;https://image.tmdb.org/t/p/original/IHX7A7tMc2hAET8Oy7DRdglfOz.jpg;https://image.tmdb.org/t/p/original/83Ugvwor1tmi0e25VcJz10jTQOq.jpg;Drama;8.727;1;26;https://www.themoviedb.org/tv/212799
Velo de novia;Velo de novia;TMDB;2003 - 2004;;https://image.tmdb.org/t/p/original/xpCHVdEEfQI4hAEeBsMP9e9wJOt.jpg;https://image.tmdb.org/t/p/original/nyR3F2feRsZLwg1g0LBfSa6dYrX.jpg;Drama;9.0;1;135;https://www.themoviedb.org/tv/32002
Violeta como el Mar;Violeta como el mar;TMDB;2022 - 2024;Violeta regresa a Palermo en búsqueda del paradero de su padre. Allí, como periodista, empieza a cubrir información sobre crímenes colaborando con el inspector Francesco Demir.;https://image.tmdb.org/t/p/original/ityM3jloJHwQh8jQivDKlNBgPAF.jpg;https://image.tmdb.org/t/p/original/kLiwgVtM1Vg9R5aftu23zyITvCo.jpg;Crimen, Drama, Misterio;7.618;2;24;https://www.themoviedb.org/tv/208878
Vivir de amor;Vivir de amor;TMDB;2024 - 2024;Hace 20 años, la familia de Elena se desmorona cuando su hija Frida le es arrebatada y la dan por muerta, quedando sola con Rebeca, su hija pequeña. Alma y Antonio lloran la muerte de su hija, pero justo después de sepultarla, ¡se encuentran a Frida y la hacen pasar por su hija Rebeca! Rebeca vive durante 20 años una vida humilde que no le corresponde, hasta que descubre su verdadero origen y decide vengarse al saber que su hermana Angelli ha vivido una vida llena de todos los lujos de los que ella careció y que, además, está comprometida con José Emilio.;https://image.tmdb.org/t/p/original/5I0koi3lvHtGDhYvfAkLssQKEGO.jpg;https://image.tmdb.org/t/p/original/zwXvUwXgOHbBJmZSFLmBfAwHDE6.jpg;Drama;7.437;1;130;https://www.themoviedb.org/tv/243487
Vuelve a mí;Vuelve a mí;TMDB;2023 - 2024;Nuria, una mujer de escasos recursos, emprende una corta relación con Braulio sin saber que es uno de los dueños de la empresa donde trabaja para poder mantener a su hijo y hermana. Las vidas de los personajes principales se empiezan a entrelazar tras el trágico secuestro de Andrés, el hijo de Nuria. En este drama lleno de vínculos amorosos, el amor incondicional de una madre por su hijo se convertirá en el hilo conductor de la historia.;https://image.tmdb.org/t/p/original/evKsJmlC4fRhARcnVbngygV40sE.jpg;https://image.tmdb.org/t/p/original/5GXW5SRUO8oWLOAaOhK1nxiCZEV.jpg;Telenovela, Drama;8.188;1;92;https://www.themoviedb.org/tv/236921
Zemheri;Invierno;TMDB;2020 - 2020;Firuze y Ayaz son dos estudiantes que se enamoran. Atrapados entre el amor y el destino, no son libres de elegir lo que quieren. Primero, Ayaz desaparece, luego el padre de Firuze es incriminado y sentenciado por un crimen. Para estar juntos, Firuze y Ayaz tendrían que entregar a sus familias, a menos que puedan vencer las fuerzas que los mantienen separados.;https://image.tmdb.org/t/p/original/koZdwkUOQy8JsuGcrUdtQZAhakS.jpg;https://image.tmdb.org/t/p/original/eVo7j9XEV6ObPdS9sm7o5QmvApZ.jpg;Drama;7.4;1;10;https://www.themoviedb.org/tv/97296
Zorro la Espada y la Rosa;Zorro: La espada y la rosa;TMDB;2007 - 2007;"El Zorro (Diego de la Vega) se enamora de la joven y bella viuda Esmeralda Sánchez de Moncada. Esta llega a California con su hermana Mariángel y su padre, Fernando, el recién nombrado gobernador de Los Ángeles. El héroe debe enfrentarse a una horda de villanos, utilizando como sello distintintivo su famosa ""Z"". La historia trata también sobre la madre perdida de Esmeralda y del hombre cuyas intrigas atroces cambiarán la vida de Diego para siempre. La resolución amenaza con agitar todo el Imperio Español.";https://image.tmdb.org/t/p/original/v6XZeLzt6mKJsUMc5S59Td0mt3g.jpg;https://image.tmdb.org/t/p/original/s5dDwDcyV4T764vjHW08gR18Xzu.jpg;Western, Drama, Telenovela;7.333;1;122;https://www.themoviedb.org/tv/5144
